Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
css||Tutorial,https://www.w3schools.com/css/default.asp,,"['Examples in Each Chapter', 'CSS Examples', 'Use the Menu', 'CSS Templates']","['This CSS tutorial contains hundreds of CSS examples.With our online editor, you can edit the CSS, and click on a button to view the result.Click on the ""Try it Yourself"" button to see how it works.', 'Learn from over 300 examples! With our editor, you can edit the CSS, and click on a\nbutton to view the result.Go to CSS Examples!', 'We recommend reading this tutorial, in the sequence listed in the menu.If you have a large screen, the menu will always be present on the left.If you have a small screen, open the menu by clicking the top menu sign ☰.', 'We have created some responsive W3.CSS templates for you to use.You are free to modify, save, share, and use them in all your projects.Free CSS Templates!', 'Test your CSS skills with a quiz.CSS Quiz!', 'At W3Schools you will find complete CSS references of all properties and selectors with syntax, examples, browser support, and more.']","['\nbody\n{\xa0\xa0background-color: lightblue;}\nh1\n{\n\xa0\xa0color: white;\n\xa0\xa0text-align: center;\n}\np\n{\n  \xa0\nfont-family: verdana;\n\xa0\xa0font-size: 20px;\n}', '', '', '']",[''],[],[]
css||Introduction,https://www.w3schools.com/css/css_intro.asp,CSS is the language we use to style a Web page.,"['What is CSS?', 'CSS Demo - One HTML Page - Multiple Styles!', 'Why Use CSS?', 'CSS Solved a Big Problem', 'CSS Saves a Lot of Work!']","['Here we will show one HTML page displayed with four different stylesheets. \nClick on the ""Stylesheet 1"", ""Stylesheet 2"", ""Stylesheet 3"", ""Stylesheet 4"" \nlinks below to see the different styles:', 'CSS is used to define styles for your web pages, including the design, layout \nand variations in display for different devices and screen sizes.', 'HTML was NEVER intended to contain tags for formatting a web page!HTML was \ncreated to describe the content of a web page, like:<h1>This is a heading</h1><p>This is a paragraph.</p>When tags like <font>, and color attributes were added to the HTML 3.2 \nspecification, it started a nightmare for web developers. Development of large \nwebsites, where fonts and color information were added to every single  \npage, became a long and expensive process.To solve this problem, the World Wide Web Consortium (W3C) created CSS.CSS removed the style formatting from the HTML page!', 'The style definitions are normally saved in external .css files.With an external stylesheet file, you can change the look of an entire website by changing just one file!', '']","['\nbody\n{\xa0\xa0background-color: lightblue;}\nh1\n{\n\xa0\xa0color: white;\n\xa0\xa0text-align: center;\n}\np\n{\n  \xa0\nfont-family: verdana;\n\xa0\xa0font-size: 20px;\n}', '', '', '', '']","['What is CSS?###&&&|||CSS stands for Cascading Style Sheets|||CSS describes how HTML elements are to be displayed on screen,  |||  paper, or in other media|||CSS saves a lot of work. It can control the layout of |||  multiple web pages all at once|||External stylesheets are stored in CSS files|||']",[],[]
css||Syntax,https://www.w3schools.com/css/css_syntax.asp,A CSS rule consists of a selector and a declaration block.,['CSS Syntax'],"['The selector points to the HTML element you want to style.The declaration block contains one or more declarations separated by \nsemicolons.Each declaration includes a CSS property name and a value, separated by a colon.Multiple CSS declarations are separated with semicolons, and declaration \nblocks are surrounded by curly braces.']",[''],"['CSS Syntax###&&&|||p is a selector in CSS (it points to the HTML element you want to style: |||<p>).|||color is a property, and red is the property value|||text-align is a property, and center is the property value|||']",[],['img_selector.gif']
css||Selectors,https://www.w3schools.com/css/css_selectors.asp,"A CSS selector selects the HTML element(s) you 
want to style.","['CSS Selectors', 'The CSS element Selector', 'The CSS id Selector', 'The CSS class Selector', 'The CSS Universal Selector', 'The CSS Grouping Selector', 'All CSS Simple Selectors']","['CSS selectors are used to ""find"" (or select) the HTML elements you \nwant to style.We can divide CSS selectors into five categories:This page will explain the most basic CSS selectors.', 'The element selector selects HTML elements based on the element name.', 'The id selector uses the id attribute of an HTML element to select a specific element.The id of an element is unique within a page, so the id selector is \nused to \nselect one unique element!To select an element with a specific id, write a hash (#) character, followed by \nthe id of the element.', 'The class selector selects HTML elements with a specific class attribute.To select elements with a specific class, write a period (.) character, followed by the \nclass name.You can also specify that only specific HTML elements should be affected by a class.HTML elements \ncan also refer to more than one class.', 'The universal selector (*) selects all HTML \nelements on the page.', 'The grouping selector selects all the HTML elements with the same style \ndefinitions.Look at the following CSS code (the h1, h2, and p elements have the same \nstyle definitions):It will be better to group the selectors, to minimize the code.To group selectors, separate each selector with a comma.', '']","['\np\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: red;\n}\n', '\n#para1\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: red;\n}\n', '\n.center {\xa0 text-align: center;\xa0\xa0color: red;}\n &&&&&& \np.center {\xa0 text-align: center;\xa0\xa0color: red;}\n &&&&&& \n<p class=""center large"">This paragraph refers to two classes.</p>', '\n  *\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: blue;\n}\n', '\nh1\n{\n\xa0\xa0text-align: center;\xa0\xa0color: red;\n}\nh2\n{\n  \xa0\ntext-align: center;\xa0 color: red;}\np\n{\n\xa0\xa0text-align: center;\xa0\xa0color: red;\n} &&&&&& \nh1, h2, p\n{\n  \xa0\ntext-align: center;\xa0\xa0color: red;}', '', '']","['CSS Selectors###&&&|||Simple selectors (select elements based on name, id, class)|||Combinator selectors (select  |||  elements based on a specific relationship between them)|||Pseudo-class selectors (select elements based on a certain state)|||Pseudo-elements selectors (select |||  and style a part of an element)|||Attribute selectors (select elements based on |||  an attribute or attribute value)|||']","['Selector|||Example|||Example description|||&&&#id|||#firstname|||Selects the element with id=""firstname""|||&&&.class|||.intro|||Selects all elements with class=""intro""|||&&&element.class|||p.intro|||Selects only <p> elements with class=""intro""|||&&&*|||*|||Selects all elements|||&&&element|||p|||Selects all <p> elements|||&&&element,element,..|||div, p|||Selects all <div> elements and all <p> elements|||&&&']",[]
css||How To Add CSS,https://www.w3schools.com/css/css_howto.asp,"When a browser reads a style sheet, it will format the HTML document according to 
the information in the style sheet.","['Three Ways to Insert CSS', 'External CSS', 'Internal CSS', 'Inline CSS', 'Multiple Style Sheets', 'Cascading Order']","['There are three ways of inserting a style sheet:', 'With an\nexternal style sheet, you can change the look of an entire website by changing \njust one file!Each HTML page must include a reference to the external style sheet file inside \nthe <link> element, inside the head section.An external style sheet can be written in any text editor, and must be saved with a .css extension.The external .css file should not contain any HTML tags.Here is how the ""mystyle.css"" file looks:', 'An internal style sheet may be used if one single HTML page has a unique style.The internal style is defined inside the <style> element, inside the head \nsection.', 'An inline style may be used to apply a unique style for a single element.To use inline styles, add the style attribute to the relevant element. The\nstyle attribute can contain any CSS property.', 'If some properties have been defined for the same selector (element) in different style sheets,\nthe value from the last read style sheet will be used.\xa0', 'What style will be used when there is more than one style specified for an HTML element?All the styles in a page will ""cascade"" into a new ""virtual"" style\nsheet by the following rules, where number one has the highest priority:So, an inline style has the highest priority, and will override external and \ninternal styles and browser defaults.Try it Yourself »']","['\n  <!DOCTYPE html><html><head><link rel=""stylesheet"" href=""mystyle.css""></head><body><h1>This is a heading</h1>\n  <p>This is a paragraph.</p></body></html>', '\nbody {\xa0\xa0background-color: lightblue;}h1 {\xa0\xa0color: navy;\xa0\xa0margin-left: 20px;}', '\n  <!DOCTYPE html><html><head><style>body {\xa0 \n  background-color: linen;}h1 {\xa0 color: maroon;\xa0 \n  margin-left: 40px;} </style></head><body><h1>This is a \n  heading</h1><p>This is a paragraph.</p></body></html>', '\n  <!DOCTYPE html><html><body><h1 style=""color:blue;text-align:center;"">This \n  is a heading</h1><p style=""color:red;"">This is a paragraph.</p>\n  </body></html>', '\nh1\n{\n\xa0\xa0color: navy;\n} &&&&&& \nh1\n{\n\xa0\xa0color: orange;\xa0\xa0\xa0\n} &&&&&& \n<head><link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">\n<style>h1 {\xa0\xa0color: orange;}</style></head> &&&&&& \n<head><style>h1 {\xa0\xa0color: orange;}</style><link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">\n</head>', '']",['Three Ways to Insert CSS###&&&|||External CSS|||Internal CSS|||Inline CSS|||'],[],[]
css||Comments,https://www.w3schools.com/css/css_comments.asp,"CSS comments are not displayed in the browser, but they can 
help document your source code.","['CSS Comments', 'HTML and CSS Comments']","['Comments are used to explain the code, and may help when you edit the source code at a later date.Comments are ignored by browsers.A CSS comment is placed inside the <style> element, and starts with /* and ends with */:You can add comments wherever you want in the code:Comments can also span \nmultiple lines:\xa0', 'From the HTML tutorial, you learned that you can add comments to your HTML source by using the \n<!--...--> syntax.In the following example, we use a combination of HTML and CSS comments:']","['\n  /* This is a single-line comment */p\n{\n  \xa0\ncolor: red;\n} &&&&&& \n    p\n{\n  \xa0\ncolor: red;\xa0\n  /* Set text color to red */\n} &&&&&& \n  /* This isa multi-linecomment */\np\n{\n  \xa0\ncolor: red;\n}\n', '']",[''],[],[]
css||Colors,https://www.w3schools.com/css/css_colors.asp,"Colors are specified using predefined color names, or RGB, HEX, HSL, RGBA, HSLA values.","['CSS Color Names', 'CSS Background Color', 'CSS Text Color', 'CSS Border Color', 'Hello World', 'Hello World', 'Hello World', 'CSS Color Values']","['In CSS, a color can be specified by using a predefined color name:Try it Yourself »CSS/HTML support 140 standard color names.', 'You can set the background color for HTML elements:', 'You can set the color of text:Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.', 'You can set the color of borders:', 'In CSS, colors can also be specified using RGB values, HEX values, HSL \nvalues, RGBA values, and HSLA values:Same as color name ""Tomato"":Same as color name ""Tomato"", but 50% transparent:', '', '', '']","['\n  <h1 style=""background-color:DodgerBlue;"">Hello World</h1><p style=""background-color:Tomato;"">Lorem \n  ipsum...</p>', '\n  <h1 style=""color:Tomato;"">Hello \n  World</h1><p style=""color:DodgerBlue;"">Lorem \n  ipsum...</p><p style=""color:MediumSeaGreen;"">Ut wisi \n  enim...</p>', '\n  <h1 style=""border:2px \n  solid Tomato;"">Hello \n  World</h1><h1 style=""border:2px \n  solid DodgerBlue;"">Hello \n  World</h1><h1 style=""border:2px \n  solid Violet;"">Hello \n  World</h1>', '', '', '', '', '']",[''],[],[]
css||Colors,https://www.w3schools.com/css/css_colors.asp,"Colors are specified using predefined color names, or RGB, HEX, HSL, RGBA, HSLA values.","['CSS Color Names', 'CSS Background Color', 'CSS Text Color', 'CSS Border Color', 'Hello World', 'Hello World', 'Hello World', 'CSS Color Values']","['In CSS, a color can be specified by using a predefined color name:Try it Yourself »CSS/HTML support 140 standard color names.', 'You can set the background color for HTML elements:', 'You can set the color of text:Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.', 'You can set the color of borders:', 'In CSS, colors can also be specified using RGB values, HEX values, HSL \nvalues, RGBA values, and HSLA values:Same as color name ""Tomato"":Same as color name ""Tomato"", but 50% transparent:', '', '', '']","['\n  <h1 style=""background-color:DodgerBlue;"">Hello World</h1><p style=""background-color:Tomato;"">Lorem \n  ipsum...</p>', '\n  <h1 style=""color:Tomato;"">Hello \n  World</h1><p style=""color:DodgerBlue;"">Lorem \n  ipsum...</p><p style=""color:MediumSeaGreen;"">Ut wisi \n  enim...</p>', '\n  <h1 style=""border:2px \n  solid Tomato;"">Hello \n  World</h1><h1 style=""border:2px \n  solid DodgerBlue;"">Hello \n  World</h1><h1 style=""border:2px \n  solid Violet;"">Hello \n  World</h1>', '', '', '', '', '']",[''],[],[]
css||RGB Colors,https://www.w3schools.com/css/css_colors_rgb.asp,"An RGB color value represents RED, GREEN, and BLUE light 
sources.","['RGB Value', 'RGBA Value']","['In CSS, a color can be specified as an RGB value, using this formula:rgb(red, green, blue)Each parameter (red, green, and \nblue) defines the intensity of the color between 0 and 255.For example, rgb(255, 0, 0) is displayed as red, \nbecause red is set to its highest value (255) and the others are \nset to 0.To display black, set all color parameters to 0, like this: rgb(0, 0, 0).To display white, set all color parameters to 255, like \nthis: rgb(255, 255, 255). Experiment by mixing the RGB values below:Shades of gray are often defined using equal values for all the 3 light sources:', 'RGBA color values are an extension of RGB color values with an alpha channel \n- which specifies the opacity for a color.An RGBA color value is \nspecified with:rgba(red, green, blue, \nalpha)The alpha parameter is a number \nbetween 0.0 (fully transparent) and 1.0 (not transparent at all):Experiment by mixing the RGBA values below:']","['\n\n\nrgb(255, 0, 0)\n\n\nrgb(0, 0, 255)\n\n\nrgb(60, 179, 113)\n\n\nrgb(238, 130, 238)\n\n\nrgb(255, 165, 0)\n\n\nrgb(106, 90, 205)\n\n\n &&&&&& \n\n\nrgb(60, 60, 60)\n\n\nrgb(90, 90, 90)\n\n\nrgb(120, 120, 120)\n\n\nrgb(180, 180, 180)\n\n\nrgb(210, 210, 210)\n\n\nrgb(240, 240, 240)\n\n\n', '']",[''],[],[]
css||HEX Colors,https://www.w3schools.com/css/css_colors_hex.asp,"A hexadecimal color is specified with: #RRGGBB, where the RR 
(red), GG (green) and BB (blue) hexadecimal integers specify the components of 
the color.","['HEX Value', '3 Digit HEX Value']","['In CSS, a color can be specified using a hexadecimal value in the form:#rrggbbWhere rr (red), gg (green) and bb (blue) are hexadecimal values between 00 and ff (same as decimal 0-255).For example, #ff0000 is displayed as red, because red is set to its highest value (ff) and the others are set to \nthe lowest value (00).To display black, set all values to 00, like this: #000000.To display white, set all values to ff, like \nthis: #ffffff. \xa0Experiment by mixing the HEX values below:Shades of gray are often defined using equal values for all the 3 light sources:', 'Sometimes you will see a 3-digit hex code in the CSS source.The 3-digit hex code is a shorthand for some 6-digit hex codes.The 3-digit hex code has the following form:#rgbWhere r, g, and b represents the red, green, and blue components with values between 0 and f.The 3-digit hex code can only be used when both the values (RR, GG, and BB) are the same for \neach components. So, if we have #ff00cc, it can be written like this: #f0c.Here is an example:']","['\n\n\n#ff0000\n\n\n#0000ff\n\n\n#3cb371\n\n\n#ee82ee\n\n\n#ffa500\n\n\n#6a5acd\n\n\n &&&&&& \n\n\n#3c3c3c\n\n\n#616161\n\n\n#787878\n\n\n#b4b4b4\n\n\n#f0f0f0\n\n\n#f9f9f9\n\n\n', '']",[''],[],[]
