Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
cpp||Tutorial,https://www.w3schools.com/cpp/default.asp,,"['Examples in Each Chapter', 'Learn by Examples', 'C++ Quiz']","['Our ""Try it Yourself"" editor makes it easy to learn C++. You can edit C++ code and view the result in your browser.Click on the ""Run example"" button to see how it works.', 'Learn by examples! This tutorial supplements all explanations with clarifying examples.See All C++ Examples', 'Learn by taking a quiz! The quiz will give you a signal of how much you know, or do not know, about C++.Start C++ Quiz']","['\n  #include <iostream>using namespace std;int main() {\xa0 \n  cout << ""Hello World!"";\xa0 return 0;}', '', '']",[''],[],[]
cpp||Introduction,https://www.w3schools.com/cpp/cpp_intro.asp,,"['What is C++?', 'Why Use C++', 'Get Started']","['C++ is a cross-platform language that can be used to create high-performance applications.C++ was developed by Bjarne Stroustrup, as an extension to the C language.C++ gives programmers a high level of control over system resources and memory.The language was updated 3 major times in 2011, 2014, and 2017 to C++11, C++14, and  C++17.', ""C++ is one of the world's most popular programming languages.C++ can be found in today's operating systems, Graphical User Interfaces, and embedded systems.C++ is an object-oriented programming language which gives a clear structure to programs and allows code to be reused, lowering development costs.C++ is portable and can be used to develop applications that can be adapted to multiple platforms.C++ is fun and easy to learn!As C++ is close to C# and Java, it makes it easy for programmers to switch to C++ or vice versa"", 'This tutorial will teach you the basics of C++.It is not necessary to have any prior programming experience.']","['', '', '']",[''],[],[]
cpp||Getting Started,https://www.w3schools.com/cpp/cpp_getstarted.asp,,"['C++ Get Started', 'C++ Install IDE', 'C++ Quickstart', 'Learning C++ At W3Schools']","['To start using C++, you need two things:There are many text editors and compilers to choose from. In this tutorial, we \nwill use an IDE (see below).', ""An IDE (Integrated Development Environment) is used to edit AND compile the code.Popular IDE's include Code::Blocks, Eclipse, and Visual Studio.  These are all \nfree, and they can be used to both edit and debug C++ code.Note: Web-based IDE's can work as well, but functionality is limited.We will use Code::Blocks in our tutorial, which we believe is a good place to start.You can find the latest version of Codeblocks at http://www.codeblocks.org/downloads/26. \nDownload the mingw-setup.exe file, which will install the text editor with \na compiler. "", ""Let's create our first C++ file.Open Codeblocks and go to File > New > Empty File.Write the following C++ code and save the file as myfirstprogram.cpp (File > Save File as):Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, focus on how to run the code.In Codeblocks, it should look like this:Then, go to Build > Build and Run to run (execute) the program. The result will look something to this:Congratulations! You have now written and executed your first C++ program."", 'When learning C++ at W3Schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result. This will make it easier for \nyou to understand every part as we move forward:']","['\n  #include <iostream>using namespace std;int main() {\xa0 \n  cout << ""Hello World!"";\xa0 return 0;}', '\n\n  Hello World!Process returned 0 (0x0) execution time : 0.011 sPress any \n  key to continue.\n', '', '']","['C++ Get Started###&&&|||A text editor, like Notepad, to write C++ code|||A compiler, like GCC, to translate the C++ code into a language that |||the computer will understand|||']",[],['codeblocks2.png']
cpp||Syntax,https://www.w3schools.com/cpp/cpp_syntax.asp,,"['C++ Syntax', 'Omitting Namespace']","['Let\'s break up the following code to understand it better:Line 1: #include <iostream> is a \nheader file library that lets us work with input and output objects, such as \ncout (used in line 5). Header files add functionality to C++ programs.Line 2: using namespace std \nmeans that we can use names for objects and variables from the \nstandard library.Line 3: A blank line. C++ ignores white space. But we use it \nto make the code more readable.Line 4: Another thing that always appear in a C++ program, is int main(). This is called a \nfunction. Any code inside its curly brackets {} will be executed.\nLine 5: cout (pronounced ""see-out"") is an \nobject used together with the insertion operator (<<) \nto output/print text. In our example it will output ""Hello World"".Note: Every C++ statement ends with a semicolon ;.Note: The body of int main() could also been written as:\nint main () { cout << ""Hello World! "";  return 0; \n}Remember: The compiler ignores white spaces. However, multiple lines makes the code more readable.Line 6: return 0 ends the main function.Line 7: Do not forget to add the closing curly bracket } to actually end the \nmain function.', 'You might see some C++ programs that runs without the standard namespace library. The using namespace std line can be omitted and replaced with the std keyword, \nfollowed by the :: operator \nfor some objects:']","['\n  #include <iostream>using namespace std;int main() {\xa0 \n  cout << ""Hello World!"";\xa0 return 0;}', '']",[''],[],[]
cpp||Output (Print Text),https://www.w3schools.com/cpp/cpp_output.asp,,['C++ Output (Print Text)'],"['The cout object, together with the << \noperator, is used to output values/print text:You can add as many cout objects as you want. However, note that it does not insert a new line at the end of the output:']",[''],[''],[],[]
cpp||Output (Print Text),https://www.w3schools.com/cpp/cpp_output.asp,,['C++ Output (Print Text)'],"['The cout object, together with the << \noperator, is used to output values/print text:You can add as many cout objects as you want. However, note that it does not insert a new line at the end of the output:']",[''],[''],[],[]
cpp||New Lines,https://www.w3schools.com/cpp/cpp_new_lines.asp,,['New Lines'],"['To insert a new line, you can use the \\n character:Tip: Two \\n characters after each other will create a blank line:Another way to insert a new line, is with the endl manipulator:']",[''],[''],[],[]
cpp||Comments,https://www.w3schools.com/cpp/cpp_comments.asp,,"['C++ Comments', 'Single-line Comments', 'C++ Multi-line Comments']","['Comments can be used to explain C++ code, and to make it more readable. It can also be used to \nprevent execution when testing alternative code. Comments can be singled-lined or multi-lined.', 'Single-line comments start with two forward slashes (//).Any text between // and the end of the line \nis ignored by the compiler (will not be executed).This example uses a single-line comment before a line of code:This example uses a single-line comment at the end of a line of code:', 'Multi-line comments start with /* and ends with */.Any text between /* and */ will be ignored by \nthe compiler:']","['\n  // This is a commentcout << ""Hello World!""; &&&&&& \n  cout << ""Hello World!""; // This is a comment', '', '']",[''],[],[]
cpp||Variables,https://www.w3schools.com/cpp/cpp_variables.asp,,"['C++ Variables', 'Declaring (Creating) Variables', 'Other Types', 'Display Variables', 'Add Variables Together']","['Variables are containers for storing data values. In C++, there are different types of variables (defined with different keywords), for example:', 'To create a variable, specify the type and assign it a value:Where type is one of C++ types (such as int), and \nvariableName is the name of the variable (such as x or\nmyName). The equal sign is used to assign values to the variable.To create a variable that should store a number, look at the following example:You can also declare a variable without assigning the value, and assign the value later:Note that if you assign a new value to an existing variable, it will overwrite the previous value:', 'A demonstration of other data types:', 'The cout object is used together with the << \noperator to display variables.To combine both text and a variable, separate them with the << \noperator:', 'To add a variable to another variable, you can use the + \noperator:']","['\ntype variableName = value; &&&&&& \n  int myNum = 15;cout << myNum; &&&&&& \n  int myNum;myNum = 15;cout << myNum; &&&&&& \n  int myNum = 15;\xa0\xa0// myNum is 15myNum = 10;\xa0 // Now myNum is 10cout << myNum;\xa0 // Outputs 10', '\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number without decimals)double myFloatNum = 5.99;\xa0\xa0\xa0 \n  // Floating point number (with decimals)char myLetter = \'D\';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Characterstring myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String (text)bool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Boolean (true or \n  false)', '\n  int myAge = 35;cout << ""I am "" << myAge << "" years old."";', '\n  int x = 5;int y = 6;int sum = x + y;cout << sum;', '']","['C++ Variables###&&&|||int - stores integers (whole numbers), without decimals, such as 123 or -123|||double - stores floating point numbers, with decimals, such as 19.99 or -19.99|||char - stores single characters, such as \'a\' or \'B\'. ||| Char values are surrounded by single quotes|||string - stores text, such as ""Hello World"". ||| String values are surrounded by double quotes|||bool - stores values with two states: ||| true or false|||']",[],[]
cpp||Variables,https://www.w3schools.com/cpp/cpp_variables.asp,,"['C++ Variables', 'Declaring (Creating) Variables', 'Other Types', 'Display Variables', 'Add Variables Together']","['Variables are containers for storing data values. In C++, there are different types of variables (defined with different keywords), for example:', 'To create a variable, specify the type and assign it a value:Where type is one of C++ types (such as int), and \nvariableName is the name of the variable (such as x or\nmyName). The equal sign is used to assign values to the variable.To create a variable that should store a number, look at the following example:You can also declare a variable without assigning the value, and assign the value later:Note that if you assign a new value to an existing variable, it will overwrite the previous value:', 'A demonstration of other data types:', 'The cout object is used together with the << \noperator to display variables.To combine both text and a variable, separate them with the << \noperator:', 'To add a variable to another variable, you can use the + \noperator:']","['\ntype variableName = value; &&&&&& \n  int myNum = 15;cout << myNum; &&&&&& \n  int myNum;myNum = 15;cout << myNum; &&&&&& \n  int myNum = 15;\xa0\xa0// myNum is 15myNum = 10;\xa0 // Now myNum is 10cout << myNum;\xa0 // Outputs 10', '\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number without decimals)double myFloatNum = 5.99;\xa0\xa0\xa0 \n  // Floating point number (with decimals)char myLetter = \'D\';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Characterstring myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String (text)bool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Boolean (true or \n  false)', '\n  int myAge = 35;cout << ""I am "" << myAge << "" years old."";', '\n  int x = 5;int y = 6;int sum = x + y;cout << sum;', '']","['C++ Variables###&&&|||int - stores integers (whole numbers), without decimals, such as 123 or -123|||double - stores floating point numbers, with decimals, such as 19.99 or -19.99|||char - stores single characters, such as \'a\' or \'B\'. ||| Char values are surrounded by single quotes|||string - stores text, such as ""Hello World"". ||| String values are surrounded by double quotes|||bool - stores values with two states: ||| true or false|||']",[],[]
