Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
html||Tutorial,https://www.w3schools.com/html/default.asp,,"['Easy Learning with HTML ""Try it Yourself""', 'HTML Examples']","['With our ""Try it Yourself"" editor, you can edit the HTML code and view the \nresult:Click on the ""Try it Yourself"" button to see how it works.', 'In this HTML tutorial, you will find more than 200 examples. With our online \n""Try it Yourself"" editor, you can edit and test each example yourself!Go to HTML Examples!', 'This HTML tutorial also contains nearly 100 HTML exercises.', 'Test your HTML skills with our HTML Quiz!Start HTML Quiz!', 'At W3Schools you will find complete references about HTML elements, \nattributes, events, color names, entities, character-sets, URL encoding, \nlanguage codes, HTTP messages, browser support, and more:']","['\n<!DOCTYPE html>\n<html><head><title>Page Title</title>\n</head><body><h1>This is a Heading</h1><p>This is a paragraph.</p>\n</body></html>\n', '']",[''],[],[]
html||Introduction,https://www.w3schools.com/html/html_intro.asp,HTML is the standard markup language for creating Web pages.,"['What is HTML?', 'A Simple HTML Document', 'What is an HTML Element?', 'Web Browsers', 'HTML Page Structure', 'HTML History']","['An HTML element is defined by a start tag, some content, and an end tag:The HTML element is everything from the start tag to the end tag:', 'The purpose of a web browser (Chrome, Edge, Firefox, Safari) is to read HTML documents and display them \ncorrectly.A browser does not display the HTML tags, but uses them to determine how to display the document:', 'Below is a visualization of an HTML page structure:', 'Since the early days of the World Wide Web, there have been many versions of HTML:', '', '']","['\n <!DOCTYPE html>\n<html><head><title>Page Title</title>\n </head>\n<body><h1>My First Heading</h1><p>My first paragraph.</p>\n    </body></html>\n', '', '', '', '', '']","['What is HTML?###A Simple HTML Document###&&&|||HTML stands for Hyper Text Markup Language|||HTML is the standard markup language for creating Web pages|||HTML describes the structure of a Web page|||HTML consists of a series of elements|||HTML elements tell the browser how to display the content|||HTML elements label pieces of content such as ""this is a heading"", ""this |||  is a paragraph"", ""this is a link"", etc.|||&&&|||The <!DOCTYPE html> declaration defines |||that this document is an HTML5 document|||The <html> element is the root element of an HTML |||page|||The <head> element contains meta information about the ||| HTML page|||The <title> element specifies a title for the ||| HTML page (which is shown in the browser\'s title bar or in the page\'s tab)|||The <body> element defines the ||| document\'s body, and is a container for all the visible contents, such as ||| headings, paragraphs, images, hyperlinks, tables, lists, etc.|||The <h1> element defines a large heading|||The <p> element defines a paragraph|||']","['Start tag|||Element content|||End tag|||&&&<h1>|||My First Heading|||</h1>|||&&&<p>|||My first paragraph.|||</p>|||&&&<br>|||none|||none|||&&&', 'Year|||Version|||&&&1989|||Tim Berners-Lee invented www|||&&&1991|||Tim Berners-Lee invented HTML|||&&&1993|||Dave Raggett drafted HTML+|||&&&1995|||HTML Working Group defined HTML 2.0|||&&&1997|||W3C Recommendation: HTML 3.2|||&&&1999|||W3C Recommendation: HTML 4.01|||&&&2000|||W3C Recommendation: XHTML 1.0|||&&&2008|||WHATWG HTML5 First Public Draft|||&&&2012|||WHATWG HTML5 Living Standard|||&&&2014|||W3C Recommendation: HTML5|||&&&2016|||W3C Candidate Recommendation: HTML 5.1|||&&&2017|||W3C Recommendation: HTML5.1 2nd Edition|||&&&2017|||W3C Recommendation: HTML5.2|||&&&']",['img_chrome.png']
html||Editors,https://www.w3schools.com/html/html_editors.asp,A simple text editor is all you need to learn HTML.,"['Learn HTML Using Notepad or TextEdit', 'Step 1: Open Notepad (PC)', 'Step 1: Open TextEdit (Mac)', 'Step 2: Write Some HTML', 'Step 3: Save the HTML Page', 'Step 4: View the HTML Page in Your Browser', 'W3Schools Online Editor - ""Try it Yourself""', 'W3Schools Spaces']","['Web pages can be created and modified by using professional HTML editors.However, for learning HTML we recommend a simple text editor like Notepad (PC) or TextEdit (Mac).We believe in that using a simple text editor is a good way to learn HTML.Follow the steps below to create your first web page with Notepad or TextEdit.', 'Windows 8 or later:Open the Start Screen (the window symbol at the bottom left on your screen). Type Notepad.Windows 7 or earlier:Open Start > \nPrograms > Accessories > Notepad', 'Open Finder > Applications > TextEditAlso change some preferences to get the application to \nsave files correctly.\nIn Preferences > Format > \nchoose ""Plain Text""Then under ""Open and Save"", check the box that says ""Display HTML files as HTML code instead of formatted text"".Then open a new document to place the code.', 'Write or copy the following HTML code into Notepad:', 'Save the file on your computer. Select File > Save as in the Notepad menu.Name the file ""index.htm"" and set the encoding to \nUTF-8 (which is the preferred encoding for HTML files).', 'Open the saved HTML file in your favorite browser (double click on the file, \nor right-click - and choose ""Open with"").The result will look much like this:', 'With our free online editor, you can edit the HTML code and view the result in your browser.It is the perfect tool when you want to test code fast. It also has color \ncoding and the ability to save and share code with others:Click on the ""Try it Yourself"" button to see how it works.', 'If you want to create your own website and save your code online, try our \nfree website builder, called W3schools Spaces:']","['\n<!DOCTYPE html><html><body><h1>My First Heading</h1>\n<p>My first paragraph.</p></body></html>', '\n<!DOCTYPE html>\n<html><head><title>Page Title</title>\n</head><body><h1>This is a Heading</h1><p>This is a paragraph.</p>\n</body></html>\n', '', '', '', '', '', '']",[''],[],"['img_notepad.png', 'img_saveas.png', 'img_chrome.png', 'w3css_templatesny.jpg']"
html||Basic Examples,https://www.w3schools.com/html/html_basic.asp,In this chapter we will show some basic HTML examples.,"['HTML Documents', 'The <!DOCTYPE> Declaration', 'HTML Headings', 'HTML Paragraphs', 'HTML Links', 'HTML Images', 'How to View HTML Source?']","[""Don't worry if we use tags you have not learned about yet."", 'All HTML documents must start with a document type declaration: <!DOCTYPE html>.The HTML document itself begins with <html> and ends with </html>.The visible part of the HTML document is between <body> and </body>. ', 'The <!DOCTYPE> declaration represents the document type, and helps browsers to display web pages correctly.It must only appear once, at the top of the page (before any HTML tags). The <!DOCTYPE> declaration is not case sensitive.The <!DOCTYPE> declaration for HTML5 is:', 'HTML headings are defined with the <h1> to <h6> tags.<h1> defines the most important heading. <h6> defines the least important \nheading:\xa0', 'HTML paragraphs are defined with the <p> tag:', ""HTML links are defined with the <a> tag:The link's destination is specified in the href attribute.\xa0Attributes are used to provide additional information about HTML elements.You will learn more about attributes in a later chapter."", 'HTML images are defined with the <img> tag.The source file (src), alternative text (alt), \nwidth, and height are provided as attributes:', 'Have you ever seen a Web page and wondered ""Hey! How did they do that?""Right-click in an HTML page and select ""View Page Source"" (in \nChrome) or ""View Source"" (in Edge), or similar in other browsers. This will open a window \ncontaining the HTML source code of the page.Right-click on an element (or a blank area), and choose ""Inspect"" or \n""Inspect Element"" to see what elements are made up of (you will see both \nthe HTML and the CSS). You can also edit the HTML or CSS on-the-fly in the \nElements or Styles panel that opens.']","['\n<!DOCTYPE html><html><body><h1>My First Heading</h1><p>My first paragraph.</p></body></html>', '\n<!DOCTYPE html>', '\n<h1>This is heading 1</h1>\n<h2>This is heading 2</h2>\n<h3>This is heading 3</h3>\n', '\n<p>This is a paragraph.</p>\n<p>This is another paragraph.</p>\n', '\n<a href=""https://www.w3schools.com"">This is a link</a>\n', '\n<img src=""w3schools.jpg"" alt=""W3Schools.com"" width=""104"" height=""142"">\n', '']",[''],[],[]
html||Elements,https://www.w3schools.com/html/html_elements.asp,"An HTML element is defined by a start tag, some content, and an 
end tag.","['HTML Elements', 'Nested HTML Elements', 'Never Skip the End Tag', 'Empty HTML Elements', 'HTML is Not Case Sensitive', 'HTML Tag Reference']","['The HTML element is everything from the start tag to the end tag:Examples of some HTML elements:', ""HTML elements can be nested (this means that elements can contain other elements).All HTML documents consist of nested HTML elements.The following example contains four HTML elements (<html>, <body>, <h1> \nand <p>):The <html> element is the root element \nand it defines the whole HTML document.It has a start tag <html> and an end tag </html>.Then, inside the <html> element there is \na <body> \nelement:The <body> element defines the \ndocument's body.It has a start tag <body> and an end tag </body>.Then, inside the <body> element there \nare two other elements:\n<h1> and \n<p>:The <h1> element defines a heading.It has a start tag <h1> and an end tag </h1>:The <p> element defines a paragraph.It has a start tag <p> and an end tag </p>:"", 'Some HTML elements will display correctly, even if you forget the end tag:However, never rely on this! Unexpected results and errors may occur if you forget the end tag!', 'HTML elements with no content are called empty elements.The <br> tag defines a line break, and \nis an empty element without a closing tag:', 'HTML tags are not case sensitive: <P> means the same as <p>.The HTML standard does not require lowercase tags, but W3C\nrecommends lowercase in HTML, and demands lowercase for stricter document types like XHTML.', '']","['\n<!DOCTYPE html>\n<html><body>\n <h1>My First Heading</h1><p>My first paragraph.</p>\n</body></html>\n', '\n<body>\n <h1>My First Heading</h1><p>My first paragraph.</p>\n</body>\n', '\n <h1>My First Heading</h1><p>My first paragraph.</p>', '\n<h1>My First Heading</h1>\n', '\n<p>My first paragraph.</p>\n', '\n<html><body>\n <p>This is a paragraph\n <p>This is a paragraph\n</body></html>', '\n  <p>This is a <br> paragraph with a line break.</p>']",[''],"['Start tag|||Element content|||End tag|||&&&<h1>|||My First Heading|||</h1>|||&&&<p>|||My first paragraph.|||</p>|||&&&<br>|||none|||none|||&&&', ""Tag|||Description|||&&&<html>|||Defines the root of an HTML document|||&&&<body>|||Defines the document's body|||&&&<h1> to <h6>|||Defines HTML headings|||&&&""]",[]
html||Attributes,https://www.w3schools.com/html/html_attributes.asp,HTML attributes provide additional information about HTML elements.,"['HTML Attributes', 'The href Attribute', 'The src Attribute', 'The width and height Attributes', 'The alt Attribute', 'The style Attribute', 'The lang Attribute', 'The title Attribute', 'We Suggest: Always Use Lowercase Attributes', 'We Suggest: Always Quote Attribute Values', 'Single or Double Quotes?']","['The <a> tag defines a hyperlink. The \nhref attribute specifies the URL of the page \nthe link goes to:You will learn more about links in our HTML Links\nchapter.', 'The <img> tag is used to embed an \nimage in an HTML page. The src attribute \nspecifies the path to the image to be displayed:There are two ways to specify the URL in the src \nattribute:1. Absolute URL - Links to an external image that is hosted \non another website. Example: src=""https://www.w3schools.com/images/img_girl.jpg"".Notes: External images might be under copyright. If you do \nnot get permission to use it, you may be in violation of copyright laws. In \naddition, you cannot control external images; it can suddenly be removed or \nchanged.2. Relative URL - Links to an image that is hosted within \nthe website. Here, the URL does not include the domain name. If the URL begins \nwithout a slash, it will be relative to the current page. Example: src=""img_girl.jpg"". \nIf the URL begins with a slash, it will be relative to the domain. Example: src=""/images/img_girl.jpg"".Tip: It is almost always best to use relative URLs. They \nwill not break if you change domain.', 'The <img> tag should also contain the\nwidth and \nheight attributes, which specifies the width and \nheight of the image (in pixels):', 'The required alt attribute for the <img> \ntag specifies an \nalternate text for an image, if the image for some reason cannot be displayed. \nThis can be due to \nslow connection, or an error in the src attribute, or if the user uses a screen \nreader.You will learn more about images in our HTML Images chapter.', 'The style attribute is used to add styles to \nan element, such as color, font, size, and more.You will learn more about styles in our HTML Styles chapter.', 'You should always include the lang attribute \ninside the <html> tag, to declare the \nlanguage of the Web page. This is meant to assist search engines and browsers.The following example specifies English as the language:Country codes can also be added to the language code in the lang \nattribute. So, the first two characters define the language of the HTML page, \nand the last two characters define the country.The following example specifies English as the language and United States as \nthe country:You can see all the language codes in our\nHTML Language Code Reference.', 'The title attribute defines some extra \ninformation about an \nelement.The value of the title attribute will be displayed as a tooltip when \nyou mouse over the element:', 'The HTML standard does not require lowercase attribute names.The title attribute (and all other attributes) can be written with uppercase or lowercase \nlike title or TITLE.However, W3C recommends lowercase attributes in HTML, and demands \nlowercase attributes for stricter document types like XHTML.', 'The HTML standard does not require quotes around attribute values.However, W3C recommends quotes in HTML, and demands quotes for \nstricter document types like XHTML.Sometimes you have to use quotes. This example will not display \nthe title attribute correctly, because it contains a space:', 'Double quotes around attribute values are the most common in HTML, but single \nquotes can also be used.In some situations, when the attribute value itself contains double quotes, it is necessary to use single quotes:Or vice versa:', '']","['\n<a href=""https://www.w3schools.com"">Visit W3Schools</a>\n', '\n<img src=""img_girl.jpg"">\n', '\n<img src=""img_girl.jpg"" width=""500"" height=""600"">\n', '\n <img src=""img_girl.jpg"" alt=""Girl \n  with a jacket"">\n &&&&&& \n <img src=""img_typo.jpg"" alt=""Girl \n  with a jacket"">\n', '\n<p style=""color:red;"">This is a red paragraph.</p>\n  ', '\n<!DOCTYPE html><html lang=""en""><body>...</body></html>\n', '\n<!DOCTYPE html><html lang=""en-US""><body>...</body></html>\n', '\n <p title=""I\'m a tooltip"">This is a paragraph.</p>\n', '\n  <a href=""https://www.w3schools.com/html/"">Visit our HTML tutorial</a> &&&&&& \n  <a href=https://www.w3schools.com/html/>Visit our HTML tutorial</a> &&&&&& \n <p\n title=About W3Schools>', '\n<p title=\'John ""ShotGun"" Nelson\'>\n', '\n<p title=""John \'ShotGun\' Nelson"">']","['HTML Attributes###Chapter Summary###&&&|||All HTML elements can have attributes|||Attributes provide additional information about elements|||Attributes are always specified in the start tag|||Attributes usually come in name/value pairs like: name=""value""|||&&&|||All HTML elements can have attributes|||The href attribute of |||  <a> specifies the URL of the page the link goes to|||The src attribute of |||  <img> specifies the path to the image to be displayed|||The width and height attributes |||  of <img> provide size information for images|||The alt attribute of |||  <img> provides an alternate text for an image|||The style attribute is used to add styles |||  to an element, such as color, font, size, and more|||The lang attribute |||  of the <html> tag declares the |||  language of the Web page|||The title attribute defines some extra |||  information about an element|||']",[],[]
html||Headings,https://www.w3schools.com/html/html_headings.asp,HTML headings are titles or subtitles that you want to display on a webpage.,"['HTML Headings', 'Headings Are Important', 'Bigger Headings']","['HTML headings are defined with the <h1> to <h6> tags.<h1> defines the most important heading. <h6> defines the least important heading.', 'Search engines use the headings to index the structure and content of your web pages.Users often skim a page by its headings. It is important to use headings to show the document structure.<h1> headings should be used for main headings, followed by <h2> headings, then the less important \n<h3>, and so on.', 'Each HTML heading has a default size. However, you can specify the size for any heading \nwith the style attribute, using the CSS font-size property:']","['\nHeading 1\nHeading 2\nHeading 3\nHeading 4\nHeading 5\nHeading 6\n', '\n<h1>Heading 1</h1>\n<h2>Heading 2</h2>\n<h3>Heading 3</h3><h4>Heading 4</h4><h5>Heading 5</h5><h6>Heading 6</h6>', '\n<h1 \n  style=""font-size:60px;"">Heading 1</h1>\n']",[''],"[""Tag|||Description|||&&&<html>|||Defines the root of an HTML document|||&&&<body>|||Defines the document's body|||&&&<h1> to <h6>|||Defines HTML headings|||&&&""]",[]
html||Paragraphs,https://www.w3schools.com/html/html_paragraphs.asp,"A paragraph always starts on a new line, and is usually a block of text.","['HTML Paragraphs', 'HTML Display', 'HTML Horizontal Rules', 'HTML Line Breaks', 'The Poem Problem', 'Solution - The HTML <pre> Element']","['The HTML <p> element defines a paragraph.A paragraph always starts on a new line, and browsers automatically add some white space (a margin) before and after a paragraph.', 'You cannot be sure how HTML will be displayed.Large or small screens, and resized windows will create different results. With HTML, you cannot change the display by adding extra spaces or extra lines in your HTML code.The browser will automatically remove any extra spaces and lines when the page is \ndisplayed:', 'The <hr> tag defines a thematic break in an HTML page, and is most often \ndisplayed as a horizontal rule.The <hr> element is used to separate content (or define a change) in an HTML \npage:The <hr> tag is an empty tag, which means that it has no end tag.', 'The HTML <br> element defines a line break.Use <br> if you want a line break (a new line) without starting a new paragraph:The <br> tag is an empty tag, which means that it has no end tag.', 'This poem will display on a single line:', 'The HTML <pre> element defines preformatted text.The text inside a <pre> element is displayed in a fixed-width font (usually \nCourier), and it preserves both spaces and line breaks:']","['\n<p>This is a paragraph.</p>\n<p>This is another paragraph.</p>\n', '\n <p>This paragraphcontains a lot of linesin the source code,but \n the browser ignores it.</p><p>This paragraphcontains\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n a lot of spacesin the source\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n code,but the\xa0\xa0\xa0\xa0\xa0\xa0\xa0 browser ignores \n it.</p>', '\n <h1>This is heading 1</h1><p>This is some text.</p><hr><h2>This is heading 2</h2><p>This is some other text.</p><hr>\n', '\n<p>This is<br>a paragraph<br>with line breaks.</p>', '\n <p>\xa0 My Bonnie lies over \n the ocean.\xa0 My Bonnie lies over the sea.\xa0 My Bonnie \n lies over the ocean.\xa0 Oh, bring back my Bonnie to me.</p>', '\n <pre>\xa0 My Bonnie lies over the ocean.\n\xa0 My Bonnie lies over the sea.\xa0 My Bonnie lies over the \nocean.\xa0 Oh, bring back my Bonnie to me.</pre>']",[''],['Tag|||Description|||&&&<p>|||Defines a paragraph|||&&&<hr>|||Defines a thematic change in the content|||&&&<br>|||Inserts a single line break|||&&&<pre>|||Defines pre-formatted text|||&&&'],[]
html||Styles,https://www.w3schools.com/html/html_styles.asp,"The HTML style attribute is used to add styles to an element, such as color, font, size, and more.","['The HTML Style Attribute', 'Background Color', 'Text Color', 'Fonts', 'Text Size', 'Text Alignment']","['Setting the style of an HTML element, can be done with the style attribute.The HTML style attribute has the following syntax:The property is a CSS property. The value is a CSS value.', 'The CSS background-color property defines the background color \nfor an HTML element.', 'The CSS color property defines the text color for \nan HTML element:', 'The CSS font-family property defines the font to be used  \nfor an HTML element:', 'The CSS font-size property defines the text size for \nan HTML element:', 'The CSS text-align property defines the horizontal text alignment for an HTML element:']","['\n <tagname\nstyle=""property:value;"">\n', '\n <body style=""background-color:powderblue;""><h1>This is a heading</h1><p>This is a paragraph.</p></body> &&&&&& \n  <body><h1 style=""background-color:powderblue;"">This is a heading</h1><p \n  style=""background-color:tomato;"">This is a paragraph.</p></body>', '\n <h1 style=""color:blue;"">This is a heading</h1>\n <p style=""color:red;"">This is a paragraph.</p>', '\n <h1 style=""font-family:verdana;"">This is a heading</h1><p style=""font-family:courier;"">This is a paragraph.</p>', '\n <h1 style=""font-size:300%;"">This is a heading</h1><p \nstyle=""font-size:160%;"">This is a paragraph.</p>', '\n <h1 style=""text-align:center;"">Centered Heading</h1>\n <p style=""text-align:center;"">Centered paragraph.</p>']",['Chapter Summary###&&&|||Use the style attribute for styling HTML elements|||Use background-color for background color|||Use color for text colors|||Use font-family for text fonts|||Use font-size for text sizes|||Use text-align for text alignment|||'],[],[]
html||Text Formatting,https://www.w3schools.com/html/html_formatting.asp,HTML contains several elements for defining text with a special meaning.,"['HTML Formatting Elements', 'HTML <b> and <strong> Elements', 'HTML <i> and <em> Elements', 'HTML <small> Element', 'HTML <mark> Element', 'HTML <del> Element', 'HTML <ins> Element', 'HTML <sub> Element', 'HTML <sup> Element']","['Formatting elements were designed to display special types of text:', 'The HTML <b> element defines bold text, \nwithout any extra importance.The HTML <strong> element defines text \nwith strong importance. The content inside is typically displayed in bold.', 'The HTML <i> element defines a part of \ntext in an alternate voice or mood. The content inside is typically displayed in \nitalic.Tip: The <i> tag is often used to indicate a technical term, \na phrase from another language, a thought, a ship name, etc.The HTML <em> element defines \nemphasized text. The content inside is typically displayed in italic.Tip: A screen reader will pronounce the words in <em> \nwith an emphasis, using verbal stress.', 'The HTML <small> element defines \nsmaller text:', 'The HTML <mark> element defines text \nthat should be marked or highlighted:', 'The HTML <del> element defines text \nthat has been deleted from a document. Browsers will usually strike a line \nthrough deleted text:', 'The HTML <ins> element defines a text \nthat has been inserted into a document. Browsers will usually underline inserted \ntext:', 'The HTML <sub> element defines \nsubscript text. Subscript text appears half a character below the normal line, \nand is sometimes rendered in a smaller font. Subscript text can be used for \nchemical formulas, like H2O:', 'The HTML <sup> element defines \nsuperscript text. Superscript text appears half a character above the normal \nline, and is sometimes rendered in a smaller font. Superscript text can be used \nfor footnotes, like WWW[1]:']","['\nThis text is bold\nThis text is italic\nThis is subscript and superscript\n', '\n    <b>This text is bold</b> &&&&&& \n     <strong>This text is \n     important!</strong>', '\n    <i>This text is italic</i> &&&&&& \n    <em>This text is \n emphasized</em>', '\n  <small>This is some smaller text.</small>\n', '\n  <p>Do not forget to buy <mark>milk</mark> today.</p>\n', '\n <p>My favorite color is <del>blue</del> red.</p>\n', '\n  <p>My favorite color is <del>blue</del> <ins>red</ins>.</p>\n', '\n <p>This \n is <sub>subscripted</sub> text.</p>\n', '\n <p>This \n is <sup>superscripted</sup> text.</p>\n']",['HTML Formatting Elements###&&&|||<b> - Bold text|||<strong> - Important text|||<i> - Italic text|||<em> - Emphasized text|||<mark> - Marked text|||<small> - Smaller text|||<del> - Deleted text|||<ins> - Inserted text|||<sub> - Subscript text|||<sup> - Superscript text|||'],['Tag|||Description|||&&&<b>|||Defines bold text|||&&&<em>|||Defines emphasized text\xa0|||&&&<i>|||Defines a part of text in an alternate voice or mood|||&&&<small>|||Defines smaller text|||&&&<strong>|||Defines important text|||&&&<sub>|||Defines subscripted text|||&&&<sup>|||Defines superscripted text|||&&&<ins>|||Defines inserted text|||&&&<del>|||Defines deleted text|||&&&<mark>|||Defines marked/highlighted text|||&&&'],[]
