Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
java||Tutorial,https://www.w3schools.com/java/default.asp,,['Examples in Each Chapter'],"['Our ""Try it Yourself"" editor makes it easy to learn Java. You can edit Java code and view the result \nin your browser.Click on the ""Run example"" button to see how it works.', 'Test your Java skills with a quiz.Start Java Quiz', 'Learn by examples! This tutorial supplements all explanations with clarifying examples.See All Java Examples', 'Java KeywordsJava String MethodsJava Math Methods', 'Download Java from the official Java web site:\nhttps://www.oracle.com']",[''],[''],[],[]
java||Introduction,https://www.w3schools.com/java/java_intro.asp,,"['What is Java?', 'Why Use Java?', 'Get Started']","['Java is a popular programming language, created in 1995.It is owned by Oracle, and more than 3 billion devices run Java.It is used for:', 'It is not necessary to have any prior programming experience.', '']","['', '', '']","['What is Java?###Why Use Java?###&&&|||Mobile applications (specially Android apps)|||Desktop applications|||Web applications|||Web servers and application servers|||Games|||Database connection|||And much, much more!|||&&&|||Java works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc.)|||It is one of the most popular programming language in the world|||It is easy to learn and simple to use|||It is open-source and free|||It is secure, fast and powerful|||It has a huge community support (tens of millions of developers)|||Java is an object oriented language which gives a clear structure to programs and allows code to be reused, lowering development costs|||As Java is close to C++ and C#, it makes it easy for programmers to switch to Java or vice versa|||']",[],[]
java||Getting Started,https://www.w3schools.com/java/java_getstarted.asp,,"['Java Install', 'Setup for Windows', 'Java Quickstart']","['Some PCs might have Java already installed.To check if you have Java installed on a Windows PC, search in the start bar for Java or type the following in Command Prompt (cmd.exe):If Java is installed, you will see something like this (depending on version):If you do not have Java installed on your computer, you can download it for free at oracle.com.Note: In this tutorial, we will write Java code in a text editor. However, it is possible to write Java in an Integrated Development Environment, such as IntelliJ IDEA, Netbeans or Eclipse, which are particularly useful when managing larger collections of Java files.', 'To install Java on Windows:', 'In Java, every application begins with a class name, and that class must match the filename.Let\'s create our first Java file, called Main.java, which can be done in any text editor \n(like Notepad).The file should contain a ""Hello World"" message, which is written with the \nfollowing code:Don\'t worry if you don\'t understand the code above - we will discuss it in detail in later chapters. \nFor now, focus on how to run the code above.Save the code in Notepad as ""Main.java"". Open Command Prompt (cmd.exe), navigate to the directory where you saved your file, and type ""javac \nMain.java"":This will compile your code. If there are no errors in the code, the command prompt will take you to the next line. \nNow, type ""java Main"" to run the file:The output should read:Congratulations! You have written and executed your first Java program.']","['\nC:\\Users\\Your Name>java -version\n', '\n\njava version ""11.0.1"" 2018-10-16 LTS\nJava(TM) SE Runtime Environment 18.9 (build 11.0.1+13-LTS)\nJava HotSpot(TM) 64-Bit Server VM 18.9 (build 11.0.1+13-LTS, mixed mode)\n\n', '\nC:\\Users\\Your Name>javac Main.java\n', '\nC:\\Users\\Your Name>java Main\n', '\n\nHello World\n\n']",[''],[],"['system.png', 'system1.png', 'path2.png', 'path3.png']"
java||Syntax,https://www.w3schools.com/java/java_syntax.asp,,"['Java Syntax', 'The main Method', 'System.out.println()']","['In the previous chapter, we created a Java file called Main.java, and we used the following code to print ""Hello World"" to the screen:Every line of code that runs in Java must be inside a class.\nIn our example, we named the class Main. A class should always start with \nan uppercase first letter.Note: Java is case-sensitive: ""MyClass"" and ""myclass"" has \ndifferent meaning.The name of the java file must match the class name.\nWhen saving the file, save it using the class name and add "".java"" to the end of \nthe filename. To run the example above on your computer, make sure that Java is \nproperly installed: Go to the Get Started Chapter for how to install Java. The output should be:', ""The main() method is required and you will \nsee it in every Java \nprogram:Any code inside the main() method will be executed. You don't have to understand the keywords before and after main. You will get to know \nthem bit by bit while reading this tutorial.For now, just remember that every Java program has a class name which \nmust match the filename, and that every program must contain the \nmain() method."", 'Inside the main() method, we can use the println() \nmethod to print a line of text to the screen:']","['\n\nHello World\n\n', '', '']",[''],[],[]
java||Comments,https://www.w3schools.com/java/java_comments.asp,,"['Java Comments', 'Single-line Comments', 'Java Multi-line Comments']","['Comments can be used to explain Java code, and to make it more readable. It can also be used to \nprevent execution when testing alternative code.', 'Single-line comments start with two forward slashes (//).Any text between // and the end of the line \nis ignored by Java (will not be executed).This example uses a single-line comment before a line of code:This example uses a single-line comment at the end of a line of code:', 'Multi-line comments start with /* and ends with */.Any text between /* and */ will be ignored by Java.This example uses a multi-line comment (a comment block) to explain the code:']","['', '', '']",[''],[],[]
java||Variables,https://www.w3schools.com/java/java_variables.asp,,"['Java Variables', 'Declaring (Creating) Variables', 'Final Variables', 'Other Types', 'Display Variables', 'Declare Many Variables', 'Java Identifiers']","['Variables are containers for storing data values. In Java, there are different types of variables, for example:', ""To create a variable, you must specify the type and assign it a value:Where type is one of Java's types (such as int or String), and \nvariableName is the name of the variable (such as x or\nname). The equal sign is used to assign values to the variable.To create a variable that should store text, look at the following example:To create a variable that should store a number, look at the following example:You can also declare a variable without assigning the value, and assign the value later:Note that if you assign a new value to an existing variable, it will overwrite the previous value:"", 'However, you can add the final keyword if you don\'t want others (or yourself) to overwrite existing values (this will declare the variable as ""final"" or ""constant"", which means unchangeable and read-only):', 'A demonstration of how to declare variables of other types:', 'The println() method is often used to display variables.To combine both text and a variable, use the + character:You can also use the + character to add a variable to another variable:For numeric values, the + character works as a mathematical operator (notice that we use int (integer) variables here):From the example above, you can expect:', 'To declare more than one variable of the same type, use a comma-separated list:', 'All Java variables must be\nidentified with unique names.These unique names are called identifiers.Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).Note: It is recommended to use descriptive names in order to \ncreate understandable and maintainable code:The general rules for naming variables are:']","['', '', '', '', '', '', '']","['Java Variables###Display Variables###Java Identifiers###&&&|||String - stores text, such as ""Hello"". String values are ||| surrounded by double quotes|||int - stores integers (whole numbers), without decimals, such as 123 or -123|||float - stores floating point numbers, with decimals, such as 19.99 or -19.99|||char - stores single characters, such as ||| \'a\' or \'B\'. Char values are surrounded by single quotes|||boolean - stores values with two states: ||| true or false|||&&&|||x stores the value 5|||y stores the value 6|||Then we use the println() method to display the value of x + y, ||| which is 11|||&&&|||Names can contain letters, digits, underscores, and dollar signs|||Names must begin with a letter|||Names should start with a lowercase letter and it cannot contain whitespace|||Names can also begin with $ and _ (but we will not use it in this tutorial)|||Names are case sensitive (""myVar"" and ""myvar"" are different variables)|||Reserved words (like Java keywords, such as int or |||  boolean) cannot be used as names|||']",[],[]
java||Data Types,https://www.w3schools.com/java/java_data_types.asp,,"['Java Data Types', 'Primitive Data Types', 'Numbers', 'Integer Types', 'Floating Point Types', 'Booleans', 'Characters', 'Strings', 'Non-Primitive Data Types']","['As explained in the previous chapter, a variable in Java must be a specified data type:Data types are divided into two groups:', 'A primitive data type specifies the size and type of variable values, and it has no \nadditional methods.There are eight primitive data types in Java:', 'Primitive number types are divided into two groups:Integer types stores whole numbers, positive or negative (such as 123 or -456), without decimals. \nValid types are byte, short, int \nand long. Which type you should use, depends on the numeric value.Floating point types represents numbers with a fractional part, \ncontaining one or more decimals. There are two types: float and double.', 'The byte data type can store whole numbers \nfrom -128 to 127. This can be used instead of int or other integer types to \nsave memory when you are certain that the value will be within -128 and 127:The short data type can store whole numbers from -32768 to 32767:The int data type can store whole numbers from -2147483648 to 2147483647.  In general, and in our tutorial, the int data type is \nthe preferred data type when we create variables with a numeric value.The long data type can store whole numbers from -9223372036854775808 to 9223372036854775807. This is used when int is not large enough to store the value. Note that you should end the value with an ""L"":', 'You should use a floating point type whenever you need a number with a decimal, such as 9.99 or 3.14515.The float data type can store fractional numbers from 3.4e−038 to 3.4e+038. Note that you should end the value with an ""f"":The double data type can store fractional numbers from 1.7e−308 to 1.7e+308. Note that you should end the value with a ""d"":A floating point number can also be a scientific number with an ""e"" to indicate the power of 10:', 'A boolean data type is declared with the boolean keyword and can only take the values true or false:Boolean values are mostly used for conditional testing, which you will learn more about in a later chapter.', ""The char data type is used to store a \nsingle character. The character must be \nsurrounded by single quotes, like 'A' or 'c':Alternatively, you can use ASCII values to display certain characters:Tip: A list of all ASCII values can be found in our ASCII Table Reference."", 'The String data type is used to store a sequence of characters (text). String values must be surrounded by double quotes:', 'Non-primitive data types are called reference types because \nthey refer to objects.The main difference between primitive and non-primitive data types are:Examples of non-primitive types are Strings, Arrays, Classes, Interface, etc. You will learn more about these in a later chapter.']","['', '', '', '', '', '', '', '', '']","['Java Data Types###Non-Primitive Data Types###&&&|||Primitive data types - includes byte, short, int, long, ||| float, double, boolean and char|||Non-primitive data types - such as String, Arrays and  Classes (you will learn more about these in a later chapter)|||&&&|||Primitive types are predefined (already defined) in Java. Non-primitive types are created by the programmer and |||is not defined by Java (except for String).|||Non-primitive types can be used to call methods to perform certain operations, while primitive types cannot.|||A primitive type has always a value, while non-primitive types can be null.|||A primitive type starts with a lowercase letter, while non-primitive types starts with an uppercase letter.|||The size of a primitive type depends on the data type, while non-primitive types have all the same size.|||']","['Data Type|||Size|||Description|||&&&byte|||1 byte|||Stores whole numbers from -128 to 127|||&&&short|||2 bytes|||Stores whole numbers from -32,768 to 32,767|||&&&int|||4 bytes|||Stores whole numbers from -2,147,483,648 to 2,147,483,647|||&&&long|||8 bytes|||Stores whole numbers from -9,223,372,036,854,775,808 to \n9,223,372,036,854,775,807|||&&&float|||4 bytes|||Stores fractional numbers. Sufficient for \nstoring 6 to 7 decimal digits|||&&&double|||8 bytes|||Stores fractional numbers. Sufficient for \nstoring 15 decimal digits|||&&&boolean|||1 bit|||Stores true or false values|||&&&char|||2 bytes|||Stores a single character/letter or ASCII values|||&&&']",[]
java||Type Casting,https://www.w3schools.com/java/java_type_casting.asp,,"['Java Type Casting', 'Widening Casting', 'Narrowing Casting']","['Type casting is when you assign a value of one primitive data type to another type.In Java, there are two types of casting:', 'Widening casting is done automatically when passing a smaller size type to a \nlarger size type:', 'Narrowing casting must be done manually by placing the type in parentheses \nin front of the value:']","['', '', '']",['Java Type Casting###&&&|||Widening Casting (automatically) - converting a smaller type |||to a larger type size|||byte -> short -> char -> int -> long -> float -> double|||Narrowing Casting (manually) - converting a larger type |||to a smaller size type|||double -> float -> long -> int -> char -> short -> byte|||'],[],[]
java||Operators,https://www.w3schools.com/java/java_operators.asp,,"['Java Operators', 'Arithmetic Operators', 'Java Assignment Operators', 'Java Comparison Operators', 'Java Logical Operators']","['Operators are used to perform operations on variables and values.In the example below, we use the\n+ operator to add together two values:Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:Java divides the operators into the following groups:', 'Arithmetic operators are used to perform common mathematical operations.', 'Assignment operators are used to assign values to variables.In the example below, we use the assignment operator (=) \nto assign the value 10 to a variable called x:The addition assignment operator (+=) adds a value to a variable:A list of all assignment operators:', 'Comparison operators are used to compare two values:', 'Logical operators are used to determine the logic between variables or \nvalues:']","['', '', '', '', '']",['Java Operators###&&&|||Arithmetic operators|||Assignment operators|||Comparison operators|||Logical operators|||Bitwise operators|||'],"['Operator|||Name|||Description|||Example|||Try it|||&&&+|||Addition|||Adds together two values|||x + y|||Try it »|||&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »|||&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »|||&&&/|||Division|||Divides one value by another|||x / y|||Try it »|||&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »|||&&&++|||Increment|||Increases the value of a variable by 1|||++x|||Try it »|||&&&--|||Decrement|||Decreases the value of a variable by 1|||--x|||Try it »|||&&&', 'Operator|||Example|||Same As|||Try it|||&&&=|||x = 5|||x = 5|||Try it »|||&&&+=|||x += 3|||x = x + 3|||Try it »|||&&&-=|||x -= 3|||x = x - 3|||Try it »|||&&&*=|||x *= 3|||x = x * 3|||Try it »|||&&&/=|||x /= 3|||x = x / 3|||Try it »|||&&&%=|||x %= 3|||x = x % 3|||Try it »|||&&&&=|||x &= 3|||x = x & 3|||Try it »|||&&&|=|||x |= 3|||x = x | 3|||Try it »|||&&&^=|||x ^= 3|||x = x ^ 3|||Try it »|||&&&>>=|||x >>= 3|||x = x >> 3|||Try it »|||&&&<<=|||x <<= 3|||x = x << 3|||Try it »|||&&&', 'Operator|||Name|||Example|||Try it|||&&&==|||Equal to|||x == y|||Try it »|||&&&!=|||Not equal|||x != y|||Try it »|||&&&>|||Greater than|||x > y|||Try it »|||&&&<|||Less than|||x < y|||Try it »|||&&&>=|||Greater than or equal to|||x >= y|||Try it »|||&&&<=|||Less than or equal to|||x <= y|||Try it »|||&&&', 'Operator|||Name|||Description|||Example|||Try it|||&&&&&\xa0|||Logical and|||Returns true if both statements are true|||x < 5 &&\xa0 x < 10|||Try it »|||&&&||\xa0|||Logical or|||Returns true if one of the statements is true|||x < 5 || x < 4|||Try it »|||&&&!|||Logical not|||Reverse the result, returns false if the result is true|||!(x < 5 && x < 10)|||Try it »|||&&&']",[]
java||Strings,https://www.w3schools.com/java/java_strings.asp,,"['Java Strings', 'String Length', 'More String Methods', 'Finding a Character in a String', 'String Concatenation', 'Special Characters']","['Strings are used for storing text.A String variable contains a collection of characters surrounded by double quotes:', 'A String in Java is actually an object, which contain methods that can perform certain operations on strings. For example, the length of a string can be found with the length() method:', 'There are many string methods available, for example toUpperCase() and toLowerCase():', 'The indexOf() method returns the index (the position) \nof the first occurrence of a specified text in a string \n(including whitespace):', 'The + operator can be used between strings to \ncombine them. This is called concatenation:You can also use the concat() method to concatenate two strings:', 'Because strings must be written within quotes, Java will misunderstand this string, \nand generate an error:The solution to avoid this problem, is to use the backslash escape character.The backslash (\\) escape character turns special characters into string characters:The sequence \\""\xa0 inserts a double quote in a string:\n\nExample\nString txt = ""We are the so-called \\""Vikings\\"" from the north."";\n\n\nTry it Yourself »\n\n\nThe sequence \\\'\xa0 inserts a single quote in a string:\n\nExample\nString txt = ""It\\\'s alright."";\n\n\nTry it Yourself »\n\n\nThe sequence \\\\\xa0 inserts a single backslash in a string:\n\nExample\nString txt = ""The character \\\\ is called backslash."";\n\n\nTry it Yourself »\n\n\nSix other escape sequences are valid in Java:\n\n\nCode\nResult\nTry it\n\n\n\\n\nNew Line\nTry it »\n\n\n\\r\nCarriage Return\nTry it »\n\n\n\\t\nTab\nTry it »\n\n\n\\b\nBackspace\nTry it »\n\n\n\\f\nForm Feed\n\n\n\n\nAdding Numbers and Strings\n\nWARNING!\nJava uses the + operator for both addition and concatenation.\nNumbers are added. Strings are concatenated.\n\nIf you add two numbers, the result will be a number:\n\nExample\nint x = 10;\nint y = 20;\nint z = x + y;\xa0\xa0\xa0\xa0\xa0\xa0// z will be 30 (an integer/number)\n\n\nTry it Yourself »\n\n\nIf you add two strings, the result will be a string concatenation:\n\nExample\nString x = ""10"";\nString y = ""20"";\nString z = x + y;\xa0\xa0 // z will be 1020 (a String)\n\n\nTry it Yourself »\n\n\nIf you add a number and a string, the result will be a string concatenation:\n\nExample\nString x = ""10"";\nint y = 20;\nString z = x + y;\xa0\xa0\xa0// z will be 1020 (a String)\n\n\nTry it Yourself »\n\n\n\n\nComplete String Reference\nFor a complete reference of String methods, go to our Java String Methods Reference.\nThe reference contains descriptions and examples of all string methods.\n\n\n\n\nTest Yourself With Exercises\n\nExercise:\nFill in the missing part to create a greeting variable of type String and assign it the value Hello.\n\n\n greeting = ;\n\n\n\nSubmit Answer »\nStart the Exercise\n\n\n\n\n\n\n\n❮ Previous\nNext ❯\n\n\n\n', 'If you add two numbers, the result will be a number:If you add two strings, the result will be a string concatenation:If you add a number and a string, the result will be a string concatenation:']","['', '', '', '', '', '']",[''],"['Escape character|||Result|||Description|||&&&\\\'|||\'|||Single quote|||&&&\\""|||""|||Double quote|||&&&\\\\|||\\|||Backslash|||&&&', 'Code|||Result|||Try it|||&&&\\n|||New Line|||Try it »|||&&&\\r|||Carriage Return|||Try it »|||&&&\\t|||Tab|||Try it »|||&&&\\b|||Backspace|||Try it »|||&&&\\f|||Form Feed||||||&&&']",[]
