Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
js||Tutorial,https://www.w3schools.com/js/default.asp,,"['Use the Menu', 'Learn by Examples', 'Why Study JavaScript?', 'Learning Speed', 'Commonly Asked Questions', 'JavaScript References', 'JavaScript Quiz Test']","['We recommend reading this tutorial, in the sequence listed in the menu.If you have a large screen, the menu will always be present on the left.If you have a small screen, open the menu by clicking the top menu sign ☰.', 'Examples are better than 1000 words. Examples are often easier to understand \nthan text explanations.This tutorial supplements all explanations with clarifying ""Try it Yourself"" examples.', 'JavaScript is one of the 3 languages all web developers \nmust \nlearn:\xa0\xa0 1. HTML to define the content of web pages\xa0\xa0 2. CSS to specify the layout of web pages\xa0\xa0 3. JavaScript to program the behavior of web pages ', 'In this tutorial, the learning speed is your choice.Everything is up to you.If you are struggling, take a break, or re-read the material.Always make sure you understand all the ""Try-it-Yourself"" \nexamples.The only way to become a clever programmer is to:\nPractice. Practice. Practice. Code. Code. Code !', 'W3Schools maintains a complete JavaScript reference, including all HTML and browser objects.The reference contains examples for all properties, methods and events, and \nis continuously updated according to the latest web standards.', 'Test your JavaScript skills at W3Schools!Start JavaScript Quiz!', '']","['\nMy First JavaScript\n\nClick me to display Date and Time\n\n', '', '', '', '', '', '']",[''],[],[]
js||Introduction,https://www.w3schools.com/js/js_intro.asp,,"['JavaScript Can Change HTML Attribute Values', 'JavaScript Can Change HTML Styles (CSS)', 'JavaScript Can Hide HTML Elements', 'JavaScript Can Show HTML Elements']","['In this example JavaScript changes the value of the src (source) attribute of an <img> tag:', 'Changing the style of an HTML element, is a variant of changing an HTML \nattribute:', 'Hiding HTML elements can be done by changing the display style:', 'Showing hidden HTML elements can also be done by changing the display style:']","['\n document.getElementById(""demo"").innerHTML = ""Hello JavaScript""; &&&&&& \n document.getElementById(\'demo\').innerHTML = \'Hello JavaScript\';', '\nTurn on the light\n\nTurn off the light\n', '\n document.getElementById(""demo"").style.fontSize = ""35px"";', '\n document.getElementById(""demo"").style.display = ""none"";']",[''],[],['pic_bulboff.gif']
js||Where To,https://www.w3schools.com/js/js_whereto.asp,,"['The <script> Tag', 'JavaScript Functions and Events', 'JavaScript in <head> or <body>', 'JavaScript in <head>', 'JavaScript in <body>', 'External JavaScript', 'External JavaScript Advantages', 'External References']","['In HTML, JavaScript code is inserted between <script> and </script> tags.', 'A JavaScript function is a block of JavaScript code, that can be executed when ""called"" for.For example, a function can be called when an event occurs, like when the user clicks a button.', 'You can place any number of scripts in an HTML document.Scripts can be placed in the <body>, or in the <head> section of an HTML page, or in both.', 'In this example, a JavaScript function is placed in the <head> section \nof an HTML page.The function is invoked (called) when a button is clicked:', 'In this example, a JavaScript function is placed in the <body> section of an HTML page.The function is invoked (called) when a button is clicked:', 'Scripts can also be placed in external files:External scripts are practical when the same code is used in many different web pages. JavaScript files have the file extension .js.To use an external script, put the name of the script file in the src (source) attribute of \na <script> tag:You can place an external script reference in <head> or <body> as you like.The script will behave as if it was located exactly where the <script> tag is located.', 'Placing scripts in external files has some advantages:To add several script files to one page\xa0 - use several script tags:', 'An external script can be referenced in 3 different ways:This example uses a full URL to link to myScript.js: This example uses a file path to link to myScript.js:This example uses no path to link to myScript.js:']","['\n<script>\ndocument.getElementById(""demo"").innerHTML = ""My First JavaScript"";\n</script>\n', '\n<!DOCTYPE html>\n<html>\n<head>\n<script>\nfunction myFunction() {\n\xa0\xa0document.getElementById(""demo"").innerHTML = ""Paragraph changed."";\n}\n</script>\n</head><body>\n<h2>Demo JavaScript in Head</h2>\n\n<p id=""demo"">A Paragraph</p><button type=""button"" onclick=""myFunction()"">Try \nit</button>\n</body>\n</html>\n', '\n<!DOCTYPE html>\n<html>\n<body>\n<h2>Demo JavaScript in Body</h2>\n\n  <p id=""demo"">A Paragraph</p>\n\n  <button type=""button"" onclick=""myFunction()"">Try \nit</button>\n<script>\nfunction myFunction() {\n  \xa0 document.getElementById(""demo"").innerHTML = ""Paragraph changed."";\n}\n</script>\n</body>\n</html>\n', '\nfunction myFunction() {\n\xa0 document.getElementById(""demo"").innerHTML = ""Paragraph changed."";\n}\n &&&&&& \n<script src=""myScript.js""></script>', '\n<script src=""myScript1.js""></script>\n<script src=""myScript2.js""></script>\n', '', '', '']",['External JavaScript Advantages###External References###&&&|||It separates HTML and code|||It makes HTML and JavaScript easier to read and maintain|||Cached JavaScript files can speed up page loads|||&&&|||With a full URL (a full web address)|||With a file path (like /js/)|||Without any path|||'],[],[]
js||Output,https://www.w3schools.com/js/js_output.asp,,"['JavaScript Display Possibilities', 'Using innerHTML', 'Using document.write()', 'Using window.alert()', 'Using console.log()', 'JavaScript Print']","['JavaScript can ""display"" data in different ways:', 'To access an HTML element, JavaScript can use the document.getElementById(id) method. The id attribute defines the HTML element. The innerHTML  property defines the HTML content:', 'For testing purposes, it is convenient to use document.write():', 'You can use an alert box to display data:You can skip the window keyword.In JavaScript, the window object is the global scope object, that means that variables, properties, and methods by default belong to the window object.\nThis also means that specifying the window keyword is optional:', 'For debugging purposes, you can call the console.log() method\nin the browser to display data.', 'JavaScript does not have any print object or print methods.You cannot access output devices from JavaScript.The only exception is that you can call the window.print() method in\nthe browser to print the content of the current window.']","['\n <!DOCTYPE html><html>\n<body>\n\n<h1>My First Web Page</h1>\n <p>My First Paragraph</p>\n<p id=""demo""></p>\n\n<script>\n document.getElementById(""demo"").innerHTML = 5 + 6;\n    </script>\n\n</body>\n</html>\n', '\n <!DOCTYPE html><html>\n<body><h1>My First Web Page</h1>\n <p>My first paragraph.</p>\n<script>document.write(5 + 6);</script>\n\n</body>\n</html>\n &&&&&& \n<!DOCTYPE html>\n<html>\n<body>\n<h1>My First Web Page</h1>\n <p>My first paragraph.</p>\n<button type=""button"" onclick=""document.write(5 + 6)"">Try it</button>\n</body>\n</html>\n', '\n<!DOCTYPE html>\n<html>\n<body>\n<h1>My First Web Page</h1><p>My first paragraph.</p>\n\n<script>window.alert(5 + 6);\n</script>\n\n</body>\n</html>\n &&&&&& \n<!DOCTYPE html>\n<html>\n<body>\n<h1>My First Web Page</h1><p>My first paragraph.</p>\n\n<script>alert(5 + 6);\n</script>\n\n</body>\n</html>\n', '\n<!DOCTYPE html>\n<html>\n<body>\n\n<script>\nconsole.log(5 + 6);\n</script>\n\n</body>\n</html>\n', '', '']","['JavaScript Display Possibilities###&&&|||Writing into an HTML element, using innerHTML.|||Writing into the HTML output using document.write().|||Writing into an alert box, using window.alert().|||Writing into the browser console, using console.log().|||']",[],[]
js||Statements,https://www.w3schools.com/js/js_statements.asp,,"['JavaScript Programs', 'JavaScript Statements', 'Semicolons ;', 'JavaScript White Space', 'JavaScript Line Length and Line Breaks', 'JavaScript Code Blocks', 'JavaScript Keywords']","['A computer program is a list of ""instructions"" to be \n""executed"" by a computer.In a programming language, these programming instructions are called statements.A JavaScript program is a list of programming statements.', 'JavaScript statements are composed of:Values, Operators, Expressions,\xa0Keywords, \nand Comments.This statement tells the browser to write ""Hello Dolly."" \ninside an HTML element with id=""demo"":Most JavaScript \nprograms contain many JavaScript statements.The statements are executed, one by one, in the \nsame order as they are written.', 'Semicolons separate JavaScript statements.Add a semicolon at the end of each executable statement: \nWhen separated by semicolons, multiple statements on one line are allowed:', 'JavaScript ignores multiple spaces. You can add white space to your script to make it more readable.The following lines are equivalent:A good practice is to put spaces around operators ( = + - * / ):', 'For best readability, programmers often like to avoid code lines longer than 80 \ncharacters.If a JavaScript statement does not fit on one line, the best place to break \nit is after an operator:', 'JavaScript statements can be grouped together in code blocks, inside curly \nbrackets {...}.The purpose of code blocks is to define statements to be executed together.One place you will find statements grouped together in blocks, is in \nJavaScript functions:', 'JavaScript statements often start with a keyword \nto identify the JavaScript action to be performed.Our Reserved Words Reference lists all JavaScript keywords.Here is a list of some of the keywords you will learn about in \nthis tutorial: ']","['\nlet x, y, z;\xa0\xa0\xa0 // Statement 1\nx = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Statement 2\ny = 6;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Statement 3\nz = x + y;\xa0\xa0\xa0\xa0\xa0 //  Statement 4\n', '\ndocument.getElementById(""demo"").innerHTML = ""Hello Dolly."";', '\nlet a, b, c;\xa0 // Declare 3 variables\na = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Assign the value 5 to a\nb = 6;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Assign the \n  value 6 to b\nc = a + b;\xa0\xa0\xa0 // Assign the sum of a and b to c\n', '\na = 5; b = 6; c = a + b;\n', '\nlet person = ""Hege"";\nlet person=""Hege"";\n', '\nlet x = y + z;', '\ndocument.getElementById(""demo"").innerHTML =""Hello Dolly!"";', '\n function myFunction() {\n\xa0\xa0document.getElementById(""demo1"").innerHTML = ""Hello Dolly!"";\n\xa0\xa0document.getElementById(""demo2"").innerHTML = ""How are you?"";\n}\n']",[''],['Keyword|||Description|||&&&var|||Declares a variable|||&&&let|||Declares a block variable|||&&&const|||Declares a block constant|||&&&if|||Marks a block of statements to be executed on a condition|||&&&switch|||Marks a block of statements to be executed in different cases|||&&&for|||Marks a block of statements to be executed in a loop|||&&&function|||Declares a function|||&&&return|||Exits a function|||&&&try|||Implements error handling to a block of statements|||&&&'],[]
js||Syntax,https://www.w3schools.com/js/js_syntax.asp,"JavaScript syntax is the set of rules, how 
JavaScript programs are constructed:","['JavaScript Literals', 'JavaScript Variables', 'JavaScript Operators']","['The two most important syntax rules for fixed values are:1. Numbers are written with or \nwithout decimals:2. Strings are text, written within double or single quotes:', 'In a programming language, variables \nare used to store data values.JavaScript uses the keywords var,\nlet and const to declare variables.An equal sign is used to assign values to variables.In this example, x is defined as a variable. Then, x is \nassigned (given) the value \n6:', 'JavaScript uses arithmetic operators ( + - * /']","['\n 10.50\n1001 ', '\n""John Doe""\n\'John Doe\'\n', '\nlet x;\nx = 6; ', '\n(5 + 6) * 10\n', '\nlet x, y;x = 5;\ny = 6;', '\n5 * 10 \n', '\n  x * 10 \n', '\n  ""John"" + "" "" + ""Doe""\n', '\nlet x, y;x = 5 + 6;y = x * 10;\n', '\n  var x, y;x = 5 + 6;y = x * 10;\n', '\nlet x = 5;\xa0\xa0 // I will be executed// x = 6;\xa0\xa0 I will \nNOT be executed', '\nlet lastname, lastName;lastName = ""Doe"";lastname = ""Peterson"";\n']",['JavaScript Values###JavaScript Identifiers / Names###&&&|||Fixed values|||Variable values|||&&&|||A letter (A-Z or a-z)|||A dollar sign ($)|||Or an underscore (_)|||'],[],[]
js||Comments,https://www.w3schools.com/js/js_comments.asp,"JavaScript comments can be used to explain JavaScript code, and 
to make it more readable.","['Single Line Comments', 'Multi-line Comments', 'Using Comments to Prevent Execution']","['JavaScript comments can also be used to prevent execution, when \ntesting alternative code.', 'Single line comments start with //.Any text between // and the end of the line will be ignored by JavaScript \n(will not be executed).This example uses a single-line comment before each code line:This example uses a single line comment at the end of each line \nto explain the code:', 'Multi-line comments start with /* and end with  */.Any text between /* and */ will be ignored by JavaScript.This example uses a multi-line comment (a comment block) to explain the code:', 'Using comments to prevent execution of code is suitable for \ncode testing.Adding // in front of a code line changes the code lines from an executable line to \na comment.This example uses // to prevent execution of one of the code lines:This example uses a comment block to prevent execution of \nmultiple lines:']","['\n// Change heading:\ndocument.getElementById(""myH"").innerHTML = ""My First Page"";\n// Change paragraph:\ndocument.getElementById(""myP"").innerHTML = ""My first paragraph."";\n &&&&&& \nlet x = 5;\xa0\xa0\xa0\xa0\xa0 // Declare x, give it the value of 5\nlet y = x + 2;\xa0 // Declare y, give it the value of x + 2\n', '\n/*\nThe code below will change\nthe heading with id = ""myH""\nand the paragraph with id = ""myP""\nin my web page:\n*/\ndocument.getElementById(""myH"").innerHTML = ""My First Page"";\ndocument.getElementById(""myP"").innerHTML = ""My first paragraph."";\n ', '']",[''],[],[]
js||Variables,https://www.w3schools.com/js/js_variables.asp,,"['When to Use JavaScript const?', 'Just Like Algebra', 'JavaScript Identifiers', 'The Assignment Operator', 'JavaScript Data Types', 'Declaring a JavaScript Variable', 'One Statement, Many Variables', 'Value = undefined', 'Re-Declaring JavaScript Variables', 'JavaScript Arithmetic', 'JavaScript Dollar Sign $', 'JavaScript Underscore (_)']","['If you want a general rule: always declare variables with const.If you think the value of the variable can change, use let.In this example, price1, price2, and total, are variables:The two variables price1 and price2\nare declared with the const keyword.These are constant values and cannot be changed.The variable total is declared with the let keyword.This is a value that can be changed.', 'Just like in algebra, variables hold values:Just like in algebra, variables are used in expressions:From the example above, you can guess that the total is calculated to be 11.', 'All JavaScript variables must be\nidentified with unique names.These unique names are called identifiers.Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).The general rules for constructing names for variables (unique identifiers) are:', 'In JavaScript, the equal sign (=) is an ""assignment"" operator, not an \n""equal to"" operator.This is different from algebra. The following does not make sense in \nalgebra:In JavaScript, however, it makes perfect sense: it assigns the value of x + 5 to \nx.(It calculates the value of x + 5 and puts the result into x. The value of x \nis incremented by 5.)', 'JavaScript variables can hold numbers like 100 and text values like ""John \nDoe"".In programming, text values are called text strings.JavaScript can handle many types of data, but for now, just think of numbers and strings. Strings are written inside double or single quotes. Numbers are written \nwithout quotes.If you put a number in quotes, it will be treated as a text string.', 'Creating a variable in JavaScript is called ""declaring"" a variable. You declare a JavaScript variable with the var or the let keyword:After the declaration, the variable has no value (technically it is undefined).To assign a value to the variable, use the equal sign:You can also assign a value to the variable when you declare it:In the example below, we create a variable called carName and assign the value \n""Volvo"" to it.Then we ""output"" the value inside an HTML paragraph with id=""demo"":', 'You can declare many variables in one statement.Start the statement \nwith let and separate the variables by comma:A declaration can span multiple lines: ', 'In computer programs, variables are often declared without a value. The value \ncan be something that has to be calculated, or something that will be provided \nlater, like user input.A variable declared without a value will have the value \nundefined.The variable carName will have the value undefined after the execution of this statement:', 'If you re-declare a JavaScript variable declared with var, it will not lose its value.The variable carName will still have the value ""Volvo"" after the execution of these statements:', 'As with algebra, you can do arithmetic with JavaScript variables, using \noperators like = and +: You can also add strings, but strings will be concatenated:Also try this:Now try this:', 'Since JavaScript treats a dollar sign as a letter, identifiers containing $ are valid variable names:Using the dollar sign is not very common in JavaScript,\nbut professional programmers often use it \nas an alias for the main function in a JavaScript library.In the JavaScript library jQuery, for instance, the main function\n$ is used to select HTML elements.\nIn jQuery $(""p""); means ""select all p elements"".', 'Since JavaScript treats underscore as a letter, identifiers containing _ are valid variable names:\n\nExample\n\nlet _lastName = ""Johnson"";\nlet _x = 2;\nlet _100 = 5;\n\nTry it Yourself »\n\nUsing the underscore is not very common in JavaScript,\n\nbut a convention among professional programmers is to use it as an alias for\n""private (hidden)"" variables.\n\n\nTest Yourself With Exercises\n\nExercise:\nCreate a variable called carName and assign the value Volvo to it.\n\n\nvar  = """";\n\n\n\nSubmit Answer »\nStart the Exercise\n\n\n\n\n❮ Previous\nNext ❯\n\n\n\n']","['\nvar x = 5;var y = 6;\nvar z = x + y;\n &&&&&& \nlet x = 5;\nlet y = 6;\nlet z = x + y;\n &&&&&& \nx = 5;\ny = 6;\nz = x + y;\n', '\nconst price1 = 5;\nconst price2 = 6;\nlet total = price1 + price2;\n', '\nlet x = 5;\nlet y = 6;\n', '\nlet z = x + y;\n', '\nx = x + 5 \n', '\nconst pi = 3.14;\nlet person = ""John Doe"";\nlet answer = \'Yes I am!\';\n', '\nvar carName;\n &&&&&& \nlet carName;\n &&&&&& \ncarName = ""Volvo"";\n &&&&&& \nlet carName = ""Volvo"";\n &&&&&& \n<p id=""demo""></p><script>\nlet carName = ""Volvo"";\ndocument.getElementById(""demo"").innerHTML = carName; </script>', '\nlet person = ""John Doe"", carName = ""Volvo"", price = 200;\n &&&&&& \nlet person = ""John Doe"",\ncarName = ""Volvo"",\nprice = 200;\n', '\nlet carName;\n', '\nvar carName = ""Volvo"";\nvar carName;\n', '\nlet x = 5 + 2 + 3;\n &&&&&& \nlet x = ""John"" + "" "" + ""Doe""; &&&&&& \nlet x = ""5"" + 2 + 3;\n &&&&&& \nlet x = 2 + 3 + ""5"";\n', '\nlet $ = ""Hello World"";\nlet $$$ = 2;\nlet $myMoney = 5;\n', '\nlet _lastName = ""Johnson"";\nlet _x = 2;\nlet _100 = 5;\n']",[''],[],[]
js||,https://www.w3schools.com/js/js_let.asp,,"['Block Scope', 'Redeclaring Variables', 'Browser Support', 'Redeclaring', 'Let Hoisting']","['Before ES6 (2015), JavaScript had only Global Scope and Function Scope.ES6 introduced two important new JavaScript keywords: let and const.These two keywords provide Block Scope in JavaScript.Variables declared inside a { } block cannot be accessed \nfrom outside the block:Variables declared with the var keyword can NOT have block scope.Variables declared inside a { } block can be accessed from \noutside the block. ', 'Redeclaring a variable using the var keyword can impose problems.Redeclaring a variable inside a block will also redeclare the variable \noutside the block:Redeclaring a variable using the let keyword can solve this problem.Redeclaring a variable inside a block will not redeclare the variable outside \nthe block:', 'The let keyword is not fully supported in Internet Explorer 11 or earlier.The following table defines the first browser versions with full support for the let keyword: ', 'Redeclaring a JavaScript variable with var is allowed \nanywhere in a program:With let, redeclaring a variable in the same block is NOT allowed:Redeclaring a variable with let, in another block, IS allowed:', 'Variables defined with var are hoisted to the top \nand can be initialized at any time.\nMeaning: You can use the variable before it is declared:\n\nExample\nThis is OK:\n\n  carName = ""Volvo"";\n  var carName;\n\nTry it Yourself »\n\nIf you want to learn more about hoisting, study the chapter JavaScript Hoisting.\n\n\nVariables defined with let are also hoisted to the top \nof the block, but not initialized.\nMeaning: Using a let variable before it is declared will result in a \nReferenceError:\n\nExample\n\ncarName = ""Saab"";\nlet carName = ""Volvo"";\nTry it Yourself »\n\n\n\n❮ Previous\nNext ❯\n\n\n\n']","['\nlet x = ""John Doe"";\n\nlet x = 0;\n// SyntaxError: \'x\' has already been declared\n &&&&&& \nvar x = ""John Doe"";\n\nvar x = 0;\n', '\n{ \n\xa0\xa0let x = 2;\n  }\n// x can NOT be used here &&&&&& \n{ \n\xa0\xa0var x = 2; \n  }\n// x CAN be used here', '\nvar x = 10;\n// Here x is 10\n\n{ \nvar x = 2;\n// Here x is 2}\n\n// Here x is 2 &&&&&& \nlet x = 10;\n// Here x is 10\n\n{\nlet x = 2;\n// Here x is 2}\n\n// Here x is 10\n', '\nvar x = 2;\n// Now x is 2\n\nvar x = 3;\n// Now x is 3\n &&&&&& \nvar x = 2;\xa0\xa0\xa0\xa0// Allowed\nlet x = 3;\xa0\xa0\xa0\xa0// Not allowed\n\n{\nlet x = 2;\xa0\xa0\xa0\xa0// Allowed\nlet x = 3\xa0\xa0\xa0\xa0\xa0// Not allowed\n}\n\n{\nlet x = 2;\xa0\xa0\xa0\xa0// Allowed\nvar x = 3\xa0\xa0\xa0\xa0\xa0// Not allowed\n}\n &&&&&& \nlet x = 2;\xa0\xa0\xa0\xa0// Allowed{\nlet x = 3;\xa0\xa0\xa0 // Allowed\n  }\n\n  {\nlet x = 4;\xa0\xa0\xa0\xa0// Allowed\n  }', '']",[''],"['|||||||||||||||&&&Chrome 49|||Edge 12|||Firefox 44|||Safari 11|||Opera 36|||&&&Mar, 2016|||Jul, 2015|||Jan, 2015|||Sep, 2017|||Mar, 2016|||&&&']",[]
js||Const,https://www.w3schools.com/js/js_const.asp,,"['Must be Assigned', 'Constant Objects and Arrays', 'Constant Arrays', 'Constant Objects', 'Browser Support', 'Block Scope', 'Redeclaring', 'Const Hoisting']","['JavaScript const variables must be assigned a value when they are declared:', 'The keyword const is a little misleading.It does not define a constant value. It defines a constant reference to a value.Because of this you can NOT:', 'You can change the elements of a constant array:But you can NOT reassign the array:', 'You can change the properties of a constant object:But you can NOT reassign the object:', 'The const keyword is not supported in Internet Explorer 10 or earlier.The following table defines the first browser versions with full support for the const keyword: ', 'Declaring a variable with const is similar to let \nwhen it comes to Block Scope.The x declared in the block, in this example, is not the same as the x declared outside the block:You can learn more about block scope in the chapter JavaScript Scope.', 'Redeclaring a JavaScript var variable is allowed \nanywhere in a program:Redeclaring an existing var or let\nvariable to const, in the same scope, is not allowed:Reassigning an existing const variable, in the same scope, is not allowed:Redeclaring a variable with const, in another scope, or in another block, is allowed:', 'Variables defined with var are hoisted to the top \nand can be initialized at any time.Meaning: You can use the variable before it is declared:If you want to learn more about hoisting, study the chapter JavaScript Hoisting.\n\nVariables defined with const are also hoisted to the top,\nbut not initialized.\nMeaning: Using a const variable before it is declared will result in a \nReferenceError:\n\nExample\n\nalert (carName);\nconst carName = ""Volvo"";\n\nTry it Yourself »\n\n\n\n❮ Previous\nNext ❯\n\n\n\n']","['\nconst PI = 3.141592653589793;\nPI = 3.14;\xa0\xa0\xa0\xa0\xa0 // This will give an error\nPI = PI + 10;\xa0\xa0 // This will also give an error\n', '\nconst PI = 3.14159265359;\n', '\nconst PI;\nPI = 3.14159265359;\n', '\n// You can create a constant array:\nconst cars = [""Saab"", ""Volvo"", ""BMW""];\n// You can change an element:\ncars[0] = ""Toyota"";\n// You can add an element:\ncars.push(""Audi"");\n &&&&&& \nconst cars = [""Saab"", ""Volvo"", ""BMW""];\n\ncars = [""Toyota"", ""Volvo"", ""Audi""];\xa0\xa0\xa0 // ERROR\n', '\n// You can create a const object:\nconst car = {type:""Fiat"", model:""500"", color:""white""};\n// You can change a property:\ncar.color = ""red"";\n// You can add a property:\ncar.owner = ""Johnson""; &&&&&& \nconst car = {type:""Fiat"", model:""500"", color:""white""};\n\ncar = {type:""Volvo"", model:""EX60"", color:""red""};\xa0\xa0\xa0 // \n  ERROR', '\nconst x = 10;\n// Here x is 10\n\n{ \nconst x = 2;\n// Here x is 2}\n\n// Here x is 10\n', '\nvar x = 2;\xa0\xa0\xa0\xa0\xa0// Allowed\nvar x = 3;\xa0\xa0\xa0\xa0\xa0// Allowed\n  x = 4;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0// Allowed &&&&&& \nvar x = 2;\xa0\xa0\xa0\xa0\xa0// Allowed\nconst x = 2;\xa0\xa0\xa0// Not allowed\n\n{\nlet x = 2;\xa0 \xa0\xa0 // Allowed\nconst x = 2;\xa0\xa0\xa0// Not allowed}\n\n{\nconst x = 2;\xa0\xa0 // Allowed\nconst x = 2;\xa0\xa0\xa0// Not allowed\n}\n\n   &&&&&& \n  const x = 2;\xa0\xa0\xa0\xa0\xa0// Allowed\n  x = 2;\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0// Not allowed\n  var x = 2;\xa0 \xa0\xa0\xa0\xa0\xa0// Not allowed\n  let x = 2;\xa0 \xa0\xa0\xa0\xa0\xa0// Not allowed\n  const x = 2;\xa0\xa0\xa0\xa0\xa0// Not allowed\n{\xa0\n  const x = 2;\xa0\xa0 // Allowed\n\xa0 x = 2;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Not allowed\xa0 var x = 2;\xa0\xa0\xa0\xa0 \n  // Not allowed\xa0 let x = 2;\xa0\xa0\xa0\xa0 \n  // Not allowed\n  \xa0\n  const x = 2;\xa0\xa0\xa0// Not allowed\n}\n &&&&&& \n  const x = 2;\xa0\xa0\xa0\xa0\xa0\xa0 // Allowed{\xa0\n  const x = 3;\xa0\xa0 // Allowed\n  }\n\n  {\n\xa0\xa0const x = 4;\xa0\xa0\xa0// Allowed\n  }', '']",['When to use JavaScript const?###Constant Objects and Arrays###Constant Objects and Arrays###&&&|||A new Array|||A new Object|||A new Function|||A new RegExp|||&&&|||Reassign a constant value|||Reassign a constant array|||Reassign a constant object|||&&&|||But you CAN:|||Change the elements of constant array|||Change the properties of constant object|||'],"['|||||||||||||||&&&Chrome 49|||IE 11 / Edge|||Firefox 36|||Safari 10|||Opera 36|||&&&Mar, 2016|||Oct, 2013|||Feb, 2015|||Sep, 2016|||Mar, 2016|||&&&']",[]
