Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
php||Tutorial,https://www.w3schools.com/php/default.asp,,"['Easy Learning with ""PHP Tryit""']","['With our online ""PHP Tryit"" editor, you can edit the PHP code, and click \non a button to view the result.Click on the ""Try it Yourself"" button to see how it works.', 'Learn by examples! This tutorial supplements all explanations with clarifying examples.See All PHP Examples', 'Learn by taking a quiz! This quiz will give you a signal of how much you know, or do not know, about PHP.Start PHP Quiz!', ""W3Schools' PHP reference contains different categories of all PHP functions, keywords and constants, along with examples.""]","['\n <!DOCTYPE html>\n <html>\n    <body>\n<?php\n echo ""My first PHP script!"";\n ?>\n\n    </body>\n    </html>\n']",[''],[],[]
php||Introduction,https://www.w3schools.com/php/php_intro.asp,PHP code is executed on the server.,"['What You Should Already Know', 'What is PHP?', 'What is a PHP File?', 'What Can PHP Do?', 'Why PHP?', ""What's new in PHP 7""]","['Before you continue you should have a basic understanding of the following:If you want to study these subjects first, find the tutorials on our\nHome page.', 'With PHP you are not limited to output HTML. You can output images, PDF \nfiles, and even Flash movies. You can also output any text, such as XHTML and \nXML.', '', '', '', '']","['', '', '', '', '', '']","['What You Should Already Know###What is PHP?###What is a PHP File?###What Can PHP Do?###Why PHP?###What\'s new in PHP 7###&&&|||HTML|||CSS|||JavaScript|||&&&|||PHP is an acronym for ""PHP: Hypertext Preprocessor""|||PHP is a widely-used, open source scripting language|||PHP scripts are executed on the server|||PHP is free to download and use|||&&&|||PHP files can contain text, HTML, CSS, JavaScript, and PHP code|||PHP code is executed on the server, and the result is returned to the browser as plain HTML|||PHP files have extension "".php""|||&&&|||PHP can generate dynamic page content|||PHP can create, open, read, write, delete, and close files on the server|||PHP can collect form data|||PHP can send and receive cookies|||PHP can add, delete, modify data in your database|||PHP can be used to control user-access|||PHP can encrypt data|||&&&|||PHP runs on various platforms (Windows, Linux, Unix, Mac OS X, etc.)|||PHP is compatible with almost all servers used today (Apache, IIS, etc.)|||PHP supports a wide range of databases|||PHP is free. Download it from the official PHP resource: www.php.net|||PHP is easy to learn and runs efficiently on the server side|||&&&|||PHP 7 is much faster than the previous popular stable release (PHP 5.6)|||PHP 7 has improved Error Handling|||PHP 7 supports stricter Type Declarations for function arguments|||PHP 7 supports new operators (like the spaceship operator: <=>)|||']",[],[]
php||Installation,https://www.w3schools.com/php/php_install.asp,,"['What Do I Need?', 'Use a Web Host With PHP Support', 'Set Up PHP on Your Own PC', 'PHP Online Compiler / Editor']","['To start using PHP, you can:', 'If your server has activated support for PHP you do not \nneed to do anything.Just create some .php files, place them in your web directory, and the server \nwill automatically parse them for you.You do not need to compile anything or install any extra tools.Because PHP is free, most web hosts \noffer PHP support.', 'However, if your server does not support PHP, you must:The official PHP website (PHP.net) has installation instructions for PHP:\nhttp://php.net/manual/en/install.php', 'With w3schools\' online PHP compiler, you can edit PHP code, and view the result in your browser.Click on the ""Try it Yourself"" button to see how it works.']","['', '', '', '']","['What Do I Need?###Set Up PHP on Your Own PC###&&&|||Find a web host with PHP and MySQL support|||Install a web server on your own PC, and then install PHP and MySQL|||&&&|||install a web server|||install PHP|||install a database, such as MySQL|||']",[],[]
php||Syntax,https://www.w3schools.com/php/php_syntax.asp,"A PHP script is executed on the server, and the plain HTML result is sent back to the browser.","['Basic PHP Syntax', 'PHP Case Sensitivity']","['A PHP script can be placed anywhere in the document.A PHP script starts with <?php and ends with \n?>:The default file extension for PHP files is "".php"".A PHP file normally contains HTML tags, and some PHP scripting code.Below, we have an example of a simple PHP file, with a PHP script that uses a \nbuilt-in PHP function ""echo"" to output the text\n""Hello World!"" on a web page:Note: PHP statements end with a semicolon (;).', 'In PHP, keywords (e.g. if, \nelse, while, \necho, etc.), classes, functions, \nand user-defined functions are not case-sensitive.In the example below, all three echo statements below are equal and legal:Look at the example below; only the first statement will display the value of the \n$color variable! This is because \n$color, $COLOR, and \n$coLOR are treated as three \ndifferent variables:']","['\n <!DOCTYPE html>\n <html>\n    <body>\n    <h1>My first PHP page</h1>\n <?php\n echo ""Hello World!"";?>\n    </body>\n    </html>\n', '\n <!DOCTYPE html>\n <html>\n    <body>\n    <?php\n ECHO ""Hello World!<br>"";echo ""Hello World!<br>"";\n EcHo ""Hello World!<br>"";?>\n    </body>\n    </html>\n &&&&&& \n <!DOCTYPE html>\n <html>\n    <body>\n    <?php$color = ""red"";\n echo ""My car is "" . $color . ""<br>"";echo ""My house is "" . $COLOR . ""<br>"";echo ""My boat is "" . $coLOR . ""<br>"";?>\n    </body>\n    </html>\n']",[''],[],[]
php||Comments,https://www.w3schools.com/php/php_comments.asp,,['Comments in PHP'],['A comment in PHP code is a line that is not executed as a part of the \nprogram. Its only purpose is to be read by someone who is looking at the code.Comments can be used to:PHP supports several ways of commenting:'],[''],['Comments in PHP###&&&|||Let others understand your code|||Remind yourself of what you did - Most programmers have experienced coming back to their own work a year or two later and having to re-figure out what they did. Comments can remind you of what you were thinking when you wrote the code|||'],[],[]
php||Variables,https://www.w3schools.com/php/php_variables.asp,"Variables are ""containers"" for storing information.","['Creating (Declaring) PHP Variables', 'PHP Variables', 'Output Variables', 'PHP is a Loosely Typed Language']","['In PHP, a variable starts with the $ sign, followed by the name of the variable:After the execution of the statements above, the variable \n$txt will hold the value \nHello world!, the variable \n$x will hold the value \n5, \nand the variable $y will hold the value \n10.5.Note: When you assign a text value to a variable, put quotes around the value.Note: Unlike other programming languages, PHP has no command \nfor declaring a variable. It is created the moment you first assign a value to \nit.', 'A variable can have a short name (like x and y) or a more descriptive name (age, carname, total_volume).Rules for PHP variables:', 'The PHP echo statement is often used to output data to the screen.The following example will show how to output text and a variable:The following example will produce the same output as the example above:The following example will output the sum of two variables:Note: You will learn more about the echo statement and how \nto output data to the screen in the next chapter.', 'In the example above, notice that we did not have to tell PHP which data type the variable is.PHP automatically associates a data type to the variable, depending on its value. \nSince the data types are not set in a strict sense, you can do things like \nadding a string to an integer without causing an error.In PHP 7, type declarations were added. This gives an option to specify \nthe data type expected when declaring a function, and by enabling the strict requirement, it will throw a ""Fatal \nError"" on a type mismatch.You will learn more about strict and \nnon-strict requirements, and  \ndata type declarations in the PHP Functions chapter.']","['\n<?php\n$txt = ""Hello world!"";\n$x = 5;$y = 10.5;\n?>\n', '\n<?php\n$txt = ""W3Schools.com"";\n echo ""I love $txt!"";?>\n &&&&&& \n<?php\n$txt = ""W3Schools.com"";\n echo ""I love "" . $txt . ""!"";?>\n &&&&&& \n<?php\n $x = 5;$y = 4;echo $x + $y;?>\n', '', '']","['PHP Variables###&&&|||A variable starts with the $ sign, followed by the name of the variable|||A variable name must start with a letter or the underscore character|||A variable name cannot start with a number|||A variable name can only contain alpha-numeric characters and underscores (A-z, 0-9, and _ )|||Variable names are case-sensitive ($age and |||  $AGE are two different variables)|||']",[],[]
php||Variables,https://www.w3schools.com/php/php_variables.asp,"Variables are ""containers"" for storing information.","['Creating (Declaring) PHP Variables', 'PHP Variables', 'Output Variables', 'PHP is a Loosely Typed Language']","['In PHP, a variable starts with the $ sign, followed by the name of the variable:After the execution of the statements above, the variable \n$txt will hold the value \nHello world!, the variable \n$x will hold the value \n5, \nand the variable $y will hold the value \n10.5.Note: When you assign a text value to a variable, put quotes around the value.Note: Unlike other programming languages, PHP has no command \nfor declaring a variable. It is created the moment you first assign a value to \nit.', 'A variable can have a short name (like x and y) or a more descriptive name (age, carname, total_volume).Rules for PHP variables:', 'The PHP echo statement is often used to output data to the screen.The following example will show how to output text and a variable:The following example will produce the same output as the example above:The following example will output the sum of two variables:Note: You will learn more about the echo statement and how \nto output data to the screen in the next chapter.', 'In the example above, notice that we did not have to tell PHP which data type the variable is.PHP automatically associates a data type to the variable, depending on its value. \nSince the data types are not set in a strict sense, you can do things like \nadding a string to an integer without causing an error.In PHP 7, type declarations were added. This gives an option to specify \nthe data type expected when declaring a function, and by enabling the strict requirement, it will throw a ""Fatal \nError"" on a type mismatch.You will learn more about strict and \nnon-strict requirements, and  \ndata type declarations in the PHP Functions chapter.']","['\n<?php\n$txt = ""Hello world!"";\n$x = 5;$y = 10.5;\n?>\n', '\n<?php\n$txt = ""W3Schools.com"";\n echo ""I love $txt!"";?>\n &&&&&& \n<?php\n$txt = ""W3Schools.com"";\n echo ""I love "" . $txt . ""!"";?>\n &&&&&& \n<?php\n $x = 5;$y = 4;echo $x + $y;?>\n', '', '']","['PHP Variables###&&&|||A variable starts with the $ sign, followed by the name of the variable|||A variable name must start with a letter or the underscore character|||A variable name cannot start with a number|||A variable name can only contain alpha-numeric characters and underscores (A-z, 0-9, and _ )|||Variable names are case-sensitive ($age and |||  $AGE are two different variables)|||']",[],[]
php||Variables Scope,https://www.w3schools.com/php/php_variables_scope.asp,,"['PHP Variables Scope', 'Global and Local Scope', 'PHP The global Keyword', 'PHP The static Keyword']","['In PHP, variables can be declared anywhere in the script.The scope of a variable is the part of the script where the variable can be referenced/used.PHP has three different variable scopes:', 'A variable declared outside a function has a GLOBAL SCOPE and can only \nbe accessed outside a function:A variable declared within a function has a LOCAL SCOPE and can only \nbe accessed within that function:', 'The global keyword is used to access a global variable from within a function.To do this, use the global keyword before the variables (inside the \nfunction):PHP also stores all global variables in an array called \n$GLOBALS[index]. \nThe index holds the name of the variable. This array is also accessible from \nwithin functions and can be used to update global variables directly.The example above can be rewritten like this:', 'Normally, when a function is completed/executed, all of its variables are deleted. \nHowever, sometimes we want a local variable NOT to be deleted. We need it for a \nfurther job.To do this, use the static keyword when you first declare the \nvariable:Then, each time the function is called, that variable will still have the \ninformation it contained from the last time the function was called.Note: The variable is still local to the function.']","['\n <?php$x = 5; // global scopefunction myTest() {\xa0\xa0// using x inside this function will generate an error\xa0\xa0echo ""<p>Variable x inside function is: $x</p>"";} myTest();echo ""<p>Variable x outside function is: $x</p>"";?>\n &&&&&& \n <?phpfunction myTest() {\xa0\xa0$x = 5; // local scope\xa0 echo ""<p>Variable x inside function is: $x</p>"";} myTest();// using x outside the function will generate an errorecho ""<p>Variable x outside function is: $x</p>"";?>\n', ""\n<?php\n$x = 5;$y = 10;\nfunction myTest()\n{\n\xa0\xa0global $x, $y;\n\xa0\n$y = $x + $y;\n}\nmyTest();\necho $y; // outputs 15\n?>\n &&&&&& \n<?php\n$x = 5;\n$y = 10;\n\nfunction myTest()\n{\n\xa0\n$GLOBALS['y'] = $GLOBALS['x'] + $GLOBALS['y'];\n} \n\nmyTest();\necho $y; // outputs 15\n?>\n"", '\n<?phpfunction myTest()\n{\n\xa0\xa0static $x = 0;\n  \xa0 echo $x;\n  \xa0 $x++;\n}\nmyTest();\nmyTest();\nmyTest();?>\n', '']",['PHP Variables Scope###&&&|||local|||global|||static|||'],[],[]
php||echo and print Statements,https://www.w3schools.com/php/php_echo_print.asp,"With PHP, there are two basic ways to get output: echo and print.","['PHP echo and print Statements', 'The PHP echo Statement', 'The PHP print Statement']","['In this tutorial we use echo \nor print in almost every \nexample. So, this chapter contains a little more info about those two output \nstatements.', 'echo and print are more or less the same. They are both used to output data \nto the screen. The differences are small: echo has no return value while print has a return value of 1 so it can be used in \nexpressions. echo can take multiple parameters (although such usage is rare) \nwhile print can take one argument. echo is marginally \nfaster than print.', 'The echo statement can be used with or without parentheses: \necho or echo().Display TextThe following example shows how to output text with the echo \ncommand (notice that the text can contain HTML markup):Display VariablesThe following example shows how to output text and variables with the echo \nstatement:', 'The print statement can be used with or without \nparentheses: \nprint or print().Display TextThe following example shows how to output text with the print \ncommand (notice that the text can contain HTML markup):Display VariablesThe following example shows how to output text and variables with the \nprint statement:']","['\n<?php\n echo ""<h2>PHP is Fun!</h2>"";\n echo ""Hello world!<br>"";echo ""I\'m about to learn PHP!<br>"";\n echo ""This "", ""string "", ""was "", ""made "", ""with multiple parameters."";\n?>\n &&&&&& \n <?php$txt1 = ""Learn PHP"";$txt2 = ""W3Schools.com"";\n $x = 5;$y = 4;\necho ""<h2>"" . $txt1 . ""</h2>"";echo ""Study PHP at \n  "" . $txt2 . ""<br>"";echo $x + $y;?> ', '', '']",[''],[],[]
php||Data Types,https://www.w3schools.com/php/php_datatypes.asp,,"['PHP Data Types', 'PHP String', 'PHP Integer', 'PHP Float', 'PHP Boolean', 'PHP Array', 'PHP Object', 'PHP NULL Value', 'PHP Resource']","['Variables can store data of different types, and different data types can do \ndifferent things.PHP supports the following data types:', 'A string is a sequence of characters, like ""Hello world!"".A string can be any text inside quotes. You can use single or double quotes:', 'An integer data type is a non-decimal number between -2,147,483,648 and \n2,147,483,647.Rules for integers:In the following example $x is an integer. The PHP var_dump() \nfunction returns the data type and value:', 'A float (floating point number) is a number with a decimal point or a number in exponential form.In the following example $x is a float. The PHP var_dump() \nfunction returns the data type and value:', 'A Boolean represents two possible states: TRUE or FALSE.Booleans are often used in conditional testing. You will learn more about \nconditional testing in a later chapter of this tutorial.', 'An array stores multiple values in one single variable.In the following example $cars is an array. The PHP var_dump() \nfunction returns the data type and value:You will learn a lot more about arrays in later chapters of this tutorial.', ""Classes and objects are the two main aspects of object-oriented programming.A class is a template for objects, and an object is an instance of a class.When the individual objects are created, they inherit all the properties and \nbehaviors from the class, but each object will have different values for the \nproperties.Let's assume we have a class named Car. A Car can have properties like model, \ncolor, etc. We can define variables like $model, $color, and so on, to hold the \nvalues of these properties.When the individual objects (Volvo, BMW, Toyota, etc.) are created, they \ninherit all the properties and behaviors from the class, but each object will \nhave different values for the properties.If you create a __construct() function, PHP will automatically call this \nfunction when you create an object from a class."", 'Null is a special data type which can have only one value: NULL.A variable of data type NULL is a variable that has no value assigned to it.Tip: If a variable is created without a value, it is \nautomatically assigned a value of NULL.Variables can also be emptied by setting the value to NULL:', 'The special resource type is not an actual data type. It is the storing of a \nreference to functions and resources external to PHP.A common example of \nusing the resource data type is a database call.We will not talk about the resource type here, since it is an advanced topic.']","['\n <?php $x = ""Hello world!"";$y = \'Hello world!\';echo $x;echo ""<br>""; echo $y;?>', '\n <?php $x = 5985;var_dump($x);?>', '\n <?php $x = 10.365;var_dump($x);?> ', '\n <?php $cars = array(""Volvo"",""BMW"",""Toyota"");var_dump($cars);\n ?> ', '\n <?phpclass Car {\xa0 public $color;\xa0 public $model;\xa0 \n  public function __construct($color, $model) {\xa0\xa0\xa0 \n  $this->color = $color;\xa0\xa0\xa0 $this->model = $model;\xa0 \n  }\xa0 public function message() {\xa0\xa0\xa0 return ""My car \n  is a "" . $this->color . "" "" . $this->model . ""!"";\xa0 }}$myCar \n  = new Car(""black"", ""Volvo"");echo $myCar -> message();echo ""<br>"";$myCar \n  = new Car(""red"", ""Toyota"");echo $myCar -> message();?> ', '\n <?php$x = ""Hello world!"";$x = null;var_dump($x);?> ', '', '', '']","['PHP Data Types###PHP Integer###&&&|||String|||Integer|||Float (floating point numbers - also called double)|||Boolean|||Array|||Object|||NULL|||Resource|||&&&|||An integer must have at least one digit|||An integer must not have a decimal point|||An integer can be either positive or negative|||Integers can be specified in: decimal (base 10), hexadecimal (base 16), octal (base |||  8), or binary (base 2) notation|||']",[],[]
