Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
python||Tutorial,https://www.w3schools.com/python/default.asp,,"['Learning by Examples', 'Python File Handling', 'Python Database Handling']","['With our ""Try it Yourself"" editor, you can edit Python code and view the result.Click on the ""Try it Yourself"" button to see how it works.', 'In our File Handling section you will learn how to open, read, write, and \ndelete files.Python File Handling', 'In our database section you will learn how to access and work with MySQL and MongoDB databases:Python MySQL TutorialPython MongoDB Tutorial', 'Learn by examples! This tutorial supplements all explanations with clarifying examples.See All Python Examples', 'Test your Python skills with a quiz.Python Quiz', 'You will also find complete function and method references:Reference OverviewBuilt-in FunctionsString MethodsList/Array MethodsDictionary MethodsTuple MethodsSet MethodsFile MethodsPython KeywordsPython ExceptionsPython GlossaryRandom ModuleRequests ModuleMath ModuleCMath Module', 'Download Python from the official Python web site:\n  https://python.org']","['\nprint(""Hello, World!"")\n', '', '']",[''],[],[]
python||Introduction,https://www.w3schools.com/python/python_intro.asp,,['What is Python?'],"['Python is a popular programming language. It was created by Guido van Rossum, \nand released in 1991.It is used for:']","['\nprint(""Hello, World!"")\n']","['What is Python?###What is Python?###What is Python?###What is Python?###What is Python?###&&&|||web development (server-side), |||software development, |||mathematics,|||system scripting.|||&&&|||Python can be used on a server to create web applications.|||Python can be used alongside software to create workflows.|||Python can connect to database systems. It can also read and modify files.|||Python can be used to handle big data and perform complex mathematics.|||Python can be used for rapid prototyping, or for production-ready software development.|||&&&|||Python works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc).|||Python has a simple syntax similar to the English language.|||Python has syntax that allows developers to write programs with fewer lines than some other programming languages.|||Python runs on an interpreter system, meaning that code can be executed as soon as it is written. This means that prototyping can be very quick.|||Python can be treated in a procedural way, an object-oriented way or a functional way.|||&&&|||The most recent major version of Python is Python 3, which we shall be using in this tutorial. However, Python 2, although not being updated with anything other than security updates, is still quite popular.|||In this tutorial Python will be written in a text editor. It is possible to write Python in an Integrated Development Environment, such as Thonny, Pycharm, Netbeans or Eclipse which are particularly useful when managing larger collections of Python files.|||&&&|||Python was designed for readability, and has some similarities to the English language with influence from mathematics.|||Python uses new lines to complete a command, as opposed to other programming languages which often use semicolons or parentheses.|||Python relies on indentation, using whitespace, to define scope; such as the scope of loops, functions and classes. Other programming languages often use curly-brackets for this purpose.|||']",[],[]
python||Getting Started,https://www.w3schools.com/python/python_getstarted.asp,,"['Python Install', 'Python Quickstart', 'The Python Command Line']","['Many PCs and Macs will have python already installed.To check if you have python installed on a Windows PC, search in the start bar for Python or run the following on the Command Line (cmd.exe):To check if you have python installed on a Linux or Mac, then on linux open the command line or on Mac open the Terminal and type:If you find that you do not have Python installed on your computer, then you can download it for free from the following website: https://www.python.org/', 'Python is an interpreted programming language, this means that as a developer you write Python (.py) files in a text editor and then put those files into the python interpreter to be executed.The way to run a python file is like this on the command line:Where ""helloworld.py"" is the name of your python file.Let\'s write our first Python file, called helloworld.py, which can be done in any text editor.Simple as that. Save your file. Open your command line, navigate to the directory where you saved your file, and run:The output should read:Congratulations, you have written and executed your first Python program.', 'To test a short amount of code in python sometimes it is quickest and easiest not to write the code in a file. This is made possible because Python can be run as a command line itself.Type the following on the Windows, Mac or Linux command line:From there you can write any python, including our hello world example from earlier in the tutorial:Which will write ""Hello, World!"" in the command line:Whenever you are done in the python command line, you can simply type the following to quit the python command line interface:']","['\nC:\\Users\\Your Name>python --version\n', '\npython --version\n', '\nC:\\Users\\Your Name>python helloworld.py\n', '\nprint(""Hello, World!"")\n', '\nC:\\Users\\Your Name>python helloworld.py\n', '\nHello, World!\n']",[''],[],[]
python||Syntax,https://www.w3schools.com/python/python_syntax.asp,,"['Python Indentation', 'Python Variables']","['Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:', 'Indentation refers to the spaces at the beginning of a code line.Where in other programming languages the indentation in code is for readability \nonly, the indentation in Python is very important.Python uses indentation to indicate a block of code.Python will give you an error if you skip the indentation:The number of spaces is up to you as a programmer, but it has \nto be at least one.You have to use the same number of spaces in the same block of code, \notherwise Python will give you an error:', 'In Python, variables are created when you assign a value to it:\n\nExample\nVariables in Python:\n\n  x = 5y = ""Hello, World!""\n\nTry it Yourself »\n\nPython has no command for declaring a variable.\nYou will learn more about variables in the \nPython Variables chapter.\n\n\nComments\nPython has commenting capability for the purpose of in-code documentation.\nComments start with a #, and Python will render the rest of the line as a comment:\n\nExample\nComments in Python:\n\n#This is a comment.\nprint(""Hello, World!"")\n\nTry it Yourself »\n\n\n\n\nTest Yourself With Exercises\n\nExercise:\nInsert the missing part of the code below to output ""Hello World"".\n\n\n(""Hello World"")\n\n\n\nSubmit Answer »\nStart the Exercise\n\n\n\n\n❮ Previous\nNext ❯\n\n\n\n', 'Python has commenting capability for the purpose of in-code documentation.Comments start with a #, and Python will render the rest of the line as a comment:\n\nExample\nComments in Python:\n\n#This is a comment.\nprint(""Hello, World!"")\n\nTry it Yourself »\n\n\n\n\nTest Yourself With Exercises\n\nExercise:\nInsert the missing part of the code below to output ""Hello World"".\n\n\n(""Hello World"")\n\n\n\nSubmit Answer »\nStart the Exercise\n\n\n\n\n❮ Previous\nNext ❯\n\n\n\n']","['\n        >>> print(""Hello, World!"")\n        Hello, World!\n       &&&&&& \n    C:\\Users\\Your Name>python myfile.py\n  ', '\n  if 5 > 2:\xa0\nprint(""Five is greater than two!"")\n &&&&&& \nif 5 > 2:\nprint(""Five is greater than two!"")\n &&&&&& \n  if 5 > 2:\xa0print(""Five is greater than two!"")\xa0\nif 5 > 2:\xa0\xa0\xa0\xa0\xa0\xa0\xa0 print(""Five is greater than two!"")\xa0\n &&&&&& \nif 5 > 2:\n\xa0print(""Five is greater than two!"")\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0 print(""Five is greater than \n  two!"")', '\n  x = 5y = ""Hello, World!""\n', '\n#This is a comment.\nprint(""Hello, World!"")\n']",[''],[],[]
python||Comments,https://www.w3schools.com/python/python_comments.asp,Comments can be used to explain Python code.,"['Creating a Comment', 'Multi Line Comments']","['Comments can be used to make the code more readable.Comments can be used to prevent execution when testing code.', 'Comments starts with a #, and Python will \nignore them:Comments can be placed at the end of a line, and Python will ignore the rest \nof the line:A comment does not have to be text that explains the code, it can also be used to \nprevent Python from executing code:', 'Python does not really have a syntax for multi line comments.To add a multiline comment you could insert a # for each line:Or, not quite as intended, you can use a multiline string.Since Python will ignore string literals that are not assigned to a variable, you can add a multiline string (triple quotes) in your code, and place your comment inside it:As long as the string is not assigned to a variable, Python will read the code, but then ignore it, and you have made a multiline comment.']","['\n#This is a comment\nprint(""Hello, World!"")\n &&&&&& \nprint(""Hello, World!"") #This is a comment\n &&&&&& \n  #print(""Hello, World!"")print(""Cheers, Mate!"")', '\n  #This is a comment#written in#more than just one lineprint(""Hello, \n  World!"")\n &&&&&& \n  """"""This is a commentwritten in more than just \n  one line""""""print(""Hello, World!"")']",[''],[],[]
python||Variables,https://www.w3schools.com/python/python_variables.asp,,[''],"['Variables are containers for storing data values.', 'Python has no command for declaring a variable.A variable is created the moment you first assign a value to it.Variables do not need to be declared with any particular type, and can even change type after they have been set.', 'If you want to specify the data type of a variable, this can be done with casting.', 'You can get the data type of a variable with the type() function.', 'String variables can be declared either by using single or double quotes:', 'Variable names are case-sensitive.']","['\nx = 5\ny = ""John""\nprint(x)\nprint(y)\n &&&&&& \nx = 4\xa0\xa0\xa0\xa0\xa0\xa0 # x is of type int\nx = ""Sally"" # x is now of type str\nprint(x)\n', ""\nx = \n  str(3)\xa0\xa0\xa0 # x will be '3'y = int(3)\xa0\xa0\xa0 # y \n  will be 3z = float(3)\xa0 # z will be 3.0"", '\n  x = 5y = ""John""print(type(x))print(type(y))', '\nx = ""John""# is the same asx = \n  \'John\'\n']",[''],[],[]
python||Variables,https://www.w3schools.com/python/python_variables.asp,,[''],"['Variables are containers for storing data values.', 'Python has no command for declaring a variable.A variable is created the moment you first assign a value to it.Variables do not need to be declared with any particular type, and can even change type after they have been set.', 'If you want to specify the data type of a variable, this can be done with casting.', 'You can get the data type of a variable with the type() function.', 'String variables can be declared either by using single or double quotes:', 'Variable names are case-sensitive.']","['\nx = 5\ny = ""John""\nprint(x)\nprint(y)\n &&&&&& \nx = 4\xa0\xa0\xa0\xa0\xa0\xa0 # x is of type int\nx = ""Sally"" # x is now of type str\nprint(x)\n', ""\nx = \n  str(3)\xa0\xa0\xa0 # x will be '3'y = int(3)\xa0\xa0\xa0 # y \n  will be 3z = float(3)\xa0 # z will be 3.0"", '\n  x = 5y = ""John""print(type(x))print(type(y))', '\nx = ""John""# is the same asx = \n  \'John\'\n']",[''],[],[]
python||Variable Names,https://www.w3schools.com/python/python_variables_names.asp,,"['Variable Names', 'Multi Words Variable Names', 'Camel Case', 'Pascal Case', 'Snake Case']","['Variable names with more than one word can be difficult to read.There are several techniques you can use to make them more readable:Each word, except the first, starts with a capital letter:', 'Each word starts with a capital letter:', 'Each word is separated by an underscore character:', '', '']","['\nmyvar = ""John""my_var = ""John""_my_var = ""John""myVar = ""John""\n  MYVAR = ""John""myvar2 = ""John"" &&&&&& \n2myvar = ""John""my-var = ""John""\n  my var = ""John""', '', '', '', '']","['Variable Names###&&&|||A variable name must start with a letter or the underscore character|||A variable name cannot start with a number|||A variable name can only contain alpha-numeric characters and underscores (A-z, 0-9, and _ )|||Variable names are case-sensitive (age, Age and AGE are three different variables)|||']",[],[]
python||Assign Multiple Values,https://www.w3schools.com/python/python_variables_multiple.asp,,"['Many Values to Multiple Variables', 'One Value to Multiple Variables', 'Unpack a Collection']","['Python allows you to assign values to multiple variables in one line:', 'And you can assign the same value to multiple variables in one line:', 'If you have a collection of values in a list, tuple etc.\nPython allows you to extract the values into variables. This is called unpacking.Learn more about unpacking in our Unpack Tuples Chapter.']","['\n  x, y, z = ""Orange"", ""Banana"", ""Cherry""print(x)print(y)print(z)\n', '\n  x = y = z = ""Orange""print(x)print(y)print(z)\n', '\nfruits = [""apple"", ""banana"", ""cherry""]\nx, y, z = fruits\nprint(x)\nprint(y)\nprint(z)\n']",[''],[],[]
python||Output Variables,https://www.w3schools.com/python/python_variables_output.asp,,['Output Variables'],"['The Python print statement is often used to output variables.To combine both text and a variable, Python uses the \n+ character:You can also use the + character to add a variable to another variable:For numbers, the + character works as a mathematical operator:If you try to combine a string and a number, Python will give you an error:']","['\nx = ""awesome""print(""Python is "" + x)\n &&&&&& \nx = ""Python is ""y = ""awesome""z =\xa0 x + y\nprint(z)\n &&&&&& \nx = 5y = 10print(x + y)\n &&&&&& \n  x = 5y = ""John""print(x + y)\n']",[''],[],[]
python||Global Variables,https://www.w3schools.com/python/python_variables_global.asp,,"['Global Variables', 'The global Keyword']","['Variables that are created outside of a function (as in all of the examples \nabove) are known as global variables.Global variables can be used by everyone, both inside of \nfunctions and outside.If you create a variable with the same name inside a function, this variable \nwill be local, and can only be used inside the function. The global variable \nwith the same name will remain as it was, global and with the original value.', 'Normally, when you create a variable inside a function, that variable is \nlocal, and can only be used inside that function.To create a global variable inside a function, you can use the \nglobal keyword.Also, use the global keyword if you want to change a global variable inside a function.']","['\nx = ""awesome""\n  def myfunc():\xa0 print(""Python is "" + x)myfunc() &&&&&& \nx = ""awesome""\n  def myfunc():\xa0 x = ""fantastic""\xa0 print(""Python is "" + x)myfunc()\nprint(""Python is "" + x)', '\n  def myfunc():\xa0 global x\xa0 x = ""fantastic""myfunc()\nprint(""Python is "" + x) &&&&&& \n  x = ""awesome""def myfunc():\xa0 global x\xa0 x = ""fantastic""myfunc()\nprint(""Python is "" + x)']",[''],[],[]
python||Variable Exercises,https://www.w3schools.com/python/python_variables_exercises.asp,,[],"['Now you have learned a lot about variables, and how to use them in Python.Are you ready for a test?Try to insert the missing part to make the code work as expected:Go to the Exercise section and test all of our Python Variable Exercises:\nPython Variable Exercises\n']",[],[''],[],[]
python||Data Types,https://www.w3schools.com/python/python_datatypes.asp,,"['Built-in Data Types', 'Getting the Data Type', 'Setting the Data Type', 'Setting the Specific Data Type']","['In programming, data type is an important concept.Variables can store data of different types, and different types can do \ndifferent things.Python has the following data types built-in by default, in these categories:', 'You can get the data type of any object by using the type() function:', 'In Python, the data type is set when you assign a value to a variable:', 'If you want to specify the data type, you can use the following \nconstructor functions:']","['\nx = 5\nprint(type(x))\n', '', '', '']",[''],"['Text Type:|||str|||&&&Numeric Types:|||int, float,\n    complex|||&&&Sequence Types:|||list, tuple, \n    range|||&&&Mapping Type:|||dict|||&&&Set Types:|||set, frozenset|||&&&Boolean Type:|||bool|||&&&Binary Types:|||bytes, bytearray, \n    memoryview|||&&&', 'Example|||Data Type|||Try it|||&&&x = ""Hello World""|||str|||Try it »|||&&&x = 20|||int|||Try it »|||&&&x = 20.5|||float|||Try it »|||&&&x = 1j|||complex|||Try it »|||&&&x = [""apple"", ""banana"", ""cherry""]|||list|||Try it »|||&&&x = (""apple"", ""banana"", ""cherry"")|||tuple|||Try it »|||&&&x = range(6)|||range|||Try it »|||&&&x = {""name"" : ""John"", ""age"" : 36}|||dict|||Try it »|||&&&x = {""apple"", ""banana"", ""cherry""}|||set|||Try it »|||&&&x = frozenset({""apple"", ""banana"", ""cherry""})|||frozenset|||Try it »|||&&&x = True|||bool|||Try it »|||&&&x = b""Hello""|||bytes|||Try it »|||&&&x = bytearray(5)|||bytearray|||Try it »|||&&&x = memoryview(bytes(5))|||memoryview|||Try it »|||&&&', 'Example|||Data Type|||Try it|||&&&x = str(""Hello World"")|||str|||Try it »|||&&&x = int(20)|||int|||Try it »|||&&&x = float(20.5)|||float|||Try it »|||&&&x = complex(1j)|||complex|||Try it »|||&&&x = list((""apple"", ""banana"", ""cherry""))|||list|||Try it »|||&&&x = tuple((""apple"", ""banana"", ""cherry""))|||tuple|||Try it »|||&&&x = range(6)|||range|||Try it »|||&&&x = dict(name=""John"", age=36)|||dict|||Try it »|||&&&x = set((""apple"", ""banana"", ""cherry""))|||set|||Try it »|||&&&x = frozenset((""apple"", ""banana"", ""cherry""))|||frozenset|||Try it »|||&&&x = bool(5)|||bool|||Try it »|||&&&x = bytes(5)|||bytes|||Try it »|||&&&x = bytearray(5)|||bytearray|||Try it »|||&&&x = memoryview(bytes(5))|||memoryview|||Try it »|||&&&']",[]
